単語,意味,例文,例文の訳,類義語,メモ
as would have been predicted,予想されていたとおり,As would have been predicted by Robert Williams's work,ロバート・ウィリアムズの研究によって予測されたように,,
be descended from ~,〜の子孫である,all three groups appear to be descended from the same ancestral (Paleo-Indian) population.,すべての3つのグループは、同じ祖先（古代インディアン）集団から派生しているようです。,,
appear to be ~,〜であるように見える,all three groups appear to be descended from the same ancestral (Paleo-Indian) population.,すべての3つのグループは、同じ祖先（古代インディアン）集団から派生したように見えます。,,
speciment,標本・見本,New and Old World specimens,新旧両世界の標本,,
be linked to ~,〜と関連している,the majority of prehistoric Americans are linked to Northern Asian populations by crown and root traits such as incisor shoveling,先史時代のアメリカ人の過半数は、冠や根の特徴（例：切歯スコップ）によって、北アジアの人口とつながっています。,,
ancient,古代の,The ancient civilization left behind many mysterious artifacts.,古代文明はたくさんの神秘的な遺物を残しました。,,
trait,〔人の性格などの〕特徴,His perseverance is a defining trait of his character.,彼の忍耐力は彼の性格の特徴である。,,
premolar,小臼歯,The premolar teeth are situated between the canines and molars in the human mouth.,人間の口の中では、前歯は犬歯と臼歯の間に位置しています。,,
tie in with ~,〜と一致する・関連づけられる,this ties in with the idea of a single Paleo-Indian migration out of North Asia,これは、北アジアからの一つの古代インディアン移住の考えに関連しています。,,
molar,大臼歯,I just had a painful molar extraction at the dentist's office yesterday.,昨日、私は歯医者で痛みのある親知らずを抜いてもらいました。,,
give credence to ~,〜を信用する・〜を信じる,a view that gives credence to the idea of three main migrations.,３つの主要な移民の考えを支持する眺め,,
be in a minority,少数派である,"Greenberg is in a minority among fellow linguists, most of whom favour the notion of a great many waves of migration to account for the more than 1,000 languages spoken at one time by American Indians.","グリーンバーグは、多くの言語学者仲間の中で少数派であり、アメリカン・インディアンがかつて話されていた1,000以上の言語の存在を説明するために多くの移民の波の概念を支持している。",,
favour the notion of ~,〜という考えを支持する,"Greenberg is in a minority among fellow linguists, most of whom favour the notion of a great many waves of migration to account for the more than 1,000 languages spoken at one time by American Indians.","グリーンバーグは同僚の言語学者の中で少数派であり、ほとんどの人が、アメリカ先住民が一時期に話していた1,000以上の言語を説明するために多くの移民の波の概念を支持している。",,
provide strong backing for ~,〜を強く裏付ける,there is no doubt that the new genetic and dental evidence provides strong backing for Greenberg's view.,新たな遺伝子学的および歯科学的証拠が、グリーンバーグの見解を強力に支持していることは疑いの余地がありません。,,
to account for ~,〜を説明するために,"Greenberg is in a minority among fellow linguists, most of whom favour the notion of a great many waves of migration to account for the more than 1,000 languages spoken at one time by American Indians.",グリーンバーグは、同僚の言語学者の中で少数派であり、多くの人がアメリカ先住民が一度に1000以上の言語を話すための大量の移民波の概念を支持しています。,,
should be treated with caution,慎重に扱われるべきだ,Dates given for the migrations should nevertheless be treated with caution,移動が与えられた日付は、それにもかかわらず注意して扱われるべきです。,,
one of the main elements of ~,〜の主要な要素の1つ,Forests are one of the main elements of our natural heritage.,森林は私たちの自然遺産の主要な要素の一つです。,,
the decline of ~,〜の減少・衰退,The decline of Europe's forests over the last decade and a half has led to an increasing awareness and understanding of the serious imbalances which threaten them.,過去十年半にわたるヨーロッパの森林減少は、それらを脅かす深刻な不均衡に対する認識と理解の向上をもたらしています。,,
be becoming increasingly concerned by,〜についてますます懸念を抱くようになっている,European countries are becoming increasingly concerned by major threats to European forests,ヨーロッパの国々は、ヨーロッパの森林に対する重大な脅威にますます懸念を抱いています。,,
deterioration,悪化・劣化,soil deterioration,土壌劣化,,
ministerial conference,閣僚会議,"In December 1990, Strasbourg hosted the first Ministerial Conference on the protection of Europe's forests.",1990年12月、ストラスブールで初の欧州の森林保護に関する閣僚会議が開催されました。,,
preparatory,準備的な,"In December 1990, Strasbourg hosted the first Ministerial Conference on the protection of Europe's forests.",1990年12月、ストラスブールで初の欧州森林保護に関する閣僚会議が開催されました。,,
of concern to ~,～にとって関心がある,Their initial task was to decide which of the many forest problems of concern to Europe involved the largest number of countries and might be the subject of joint action.,彼らの最初の仕事は、ヨーロッパに関心を持っている多くの森林問題のうち、最も多くの国に関与しており共同行動の対象となり得る問題を決定することでした。,,
which of the many ~,多くの中でどれが〜か,Their initial task was to decide which of the many forest problems of concern to Europe involved the largest number of countries and might be the subject of joint action.,彼らの最初の仕事は、ヨーロッパに関心を持つ多くの森林問題の中から、最も多くの国が関与し、共同行動の対象となり得るものを決定することでした。,,
joint action,共同作業・共同行動,Their initial task was to decide which of the many forest problems of concern to Europe involved the largest number of countries and might be the subject of joint action.,彼らの最初の任務は、ヨーロッパに関心を持つ多くの森林問題のうち、最も多くの国が関与し、共同行動の対象となる可能性があるかを決定することでした。,,
mediterranean,地中海,countries bordering the Mediterranean or the Nordic countries therefore had to be discarded.,地中海に面する国や北欧諸国はしたがって排除されなければならなかった。,,
confined to ~,〜に限定された,Those confined to particular geographical areas,特定の地理的地域に制限された人々,,
nordic,北欧の,countries bordering the Mediterranean or the Nordic countries therefore had to be discarded.,地中海に接する国や北欧諸国は、したがって脱落させる必要があった。,,
discarded,除外された・捨てられた,countries bordering the Mediterranean or the Nordic countries therefore had to be discarded.,地中海に隣接する国や北欧諸国は、したがって取り除かれなければなりませんでした。,,
lung,肺,The first is to act as a 'green lung' for our planet; by means of photosynthesis,最初の目的は、光合成によって、地球の緑の肺として機能することです。,,
by means of ~,〜を通して・〜によって,The first is to act as a 'green lung' for our planet; by means of photosynthesis,最初の役割は、光合成によって、地球の緑の肺として機能することです。,,
photosynthesis,光合成,The first is to act as a 'green lung' for our planet; by means of photosynthesis,最初の目的は、光合成を通じて、地球の緑の肺として機能することです。,,
immence,計り知れない・巨大な・莫大な,"fulfilling what for humans is the essential role of an immense, non-polluting power plant.",人間にとって重要な役割を果たす、巨大で無公害の発電所。,,
fulfil,果たす・実現する,"fulfilling what for humans is the essential role of an immense, non-polluting power plant.",人間にとって極めて重要な役割を果たす、巨大で無公害の発電所。,,
raw material,原材料,forests provide raw materials for human activities through their constantly renewed production of wood.,森林は、常に更新される木材の生産を通じて、人間の活動のための原材料を提供しています。,,
condemned to ~,〜することを強いられている,"Finally, they offer those condemned to spend five days a week in an urban environment an unrivalled area of freedom to unwind and take part in a range of leisure activities, such as hunting, riding and hiking.",最後に、都市環境で週5日を過ごすことを強いられた人々にとって、独自の解放エリアを提供し、狩りや乗馬、ハイキングなどの様々なレジャー活動に参加するための機会を提供しています。,,
unrivalled,比類ない,"Finally, they offer those condemned to spend five days a week in an urban environment an unrivalled area of freedom to unwind and take part in a range of leisure activities, such as hunting, riding and hiking.",最後に、都市環境で週5日を過ごさなければならない者たちに、狩りや乗馬、ハイキングなどの様々なレジャー活動に参加してくつろぎ、自由な空間を提供しています。,,
unwind,リラックスする,"Finally, they offer those condemned to spend five days a week in an urban environment an unrivalled area of freedom to unwind and take part in a range of leisure activities, such as hunting, riding and hiking.",最後に、彼らは都市環境で週5日を過ごすことを余儀なくされた人々に、狩猟、乗馬、ハイキングなどの様々なレジャー活動に参加してくつろいだりするための非常に自由なエリアを提供しています。,,
since the dawn of man,人類の黎明期から,The economic importance of forests has been understood since the dawn of man – wood was the first fuel.,森林の経済的重要性は、人類の誕生以来理解されてきました - 木材は最初の燃料でした。,,
transcend,〔限界などを〕超える、超越する,it must transcend national frontiers and generations of people,それは国境を越え、人々の世代を超えなければなりません。,,
effectively no ~,事実上〜はない,"The myth of the 'natural' forest has survived, yet there are effectively no remaining 'primary' forests in Europe.",'自然'の森の神話は生き残っていますが、実際にはヨーロッパにはもはや '原生'の森はありません。,,
a range of ~,さまざまな〜,"Finally, they offer those condemned to spend five days a week in an urban environment an unrivalled area of freedom to unwind and take part in a range of leisure activities, such as hunting, riding and hiking.",ついに、彼らは週に5日都市環境で過ごすことが決められた人々に、解放された自由な場所を提供し、リラックスしたり、狩りや乗馬、ハイキングなどの様々なレジャー活動に参加する機会を提供しています。,,
inevitable,防げない・避けられない,"it must allow for the inevitable changes that take place in the forests, in needs, and hence in policy.",それは、森林で起こる必然的な変化、必要性、そして政策の変化を許容しなければなりません。,,
allow for ~,〜を考慮に入れる,"it must allow for the inevitable changes that take place in the forests, in needs, and hence in policy.",森林における必然的な変化、必要性、それゆえ政策の変化に対応しなければなりません。,,
unforeseen,予想外の・予期できない,unforeseen events,予測できない出来事,,
be accompanied by ~,～が伴う,That general declaration was accompanied by six detailed resolutions to assist national policy-making.,その一般的な宣言には、国家の政策決定を支援するための六つの詳細な決議が付属していました。,,
systematization,体系化・系統化・組織化,The first proposes the extension and systematisation of surveillance sites to monitor forest decline.,最初の提案は、森林の衰退を監視するための監視サイトの拡張と体系化を提案しています。,,
be poorly understood ~,ほとんど理解されていない・不明なところが多い,Forest decline is still poorly understood but leads to the loss of a high proportion of a tree's needles or leaves.,森林の衰退はまだよく理解されていませんが、これは木の葉や針葉樹の多くの部分の損失につながります。,,
a high proportion of ~,〜のかなりの割合,Forest decline is still poorly understood but leads to the loss of a high proportion of a tree's needles or leaves.,森林の衰退はまだよく理解されていませんが、木の多くの針や葉を失うことにつながります。,,
continent,大陸,Forest decline is still poorly understood but leads to the loss of a high proportion of a tree's needles or leaves.,森林の衰退はまだよく理解されていませんが、木の葉や針の多くが失われる原因となります。,,
atmospheric,大気中の,"The condition appears to result from the cumulative effect of a number of factors, with atmospheric pollutants the principal culprits.",その状況は、大気汚染物質が主な犯人である、いくつかの要因の累積効果から生じると思われる。,,
between A% and B% of ~,〜のA〜B％,The entire continent and the majority of species are now affected: between 30% and 50% of the tree population.,今や、全大陸と過半数の種が影響を受けています：木の人口の30％から50％の間。,,
appears to result from ~,〜に起因しているようだ,"The condition appears to result from the cumulative effect of a number of factors, with atmospheric pollutants the principal culprits.",その状態は、大気汚染物質が主な原因であると見られ、数々の要因の蓄積効果に起因するようです。,,
nitrogen,窒素,Compounds of nitrogen and sulphur dioxide should be particularly closely watched.,窒素と二酸化硫黄の化合物は特に注意が必要です。,,
culprit,問題の原因・容疑者,"The condition appears to result from the cumulative effect of a number of factors, with atmospheric pollutants the principal culprits.",状況は、大気汚染物質が主な犯人であるとされる複数の要因の累積効果によるものと思われます。,,
pollutant,汚染物質,"The condition appears to result from the cumulative effect of a number of factors, with atmospheric pollutants the principal culprits.",状態は、大気汚染物質が主要な要因であると見られる複数の要因の累積効果によるものです。,,
sulphur,硫黄,Compounds of nitrogen and sulphur dioxide should be particularly closely watched.,窒素と二酸化硫黄の化合物は特に注意して見ておく必要があります。,,
dioxide,二酸化物,Compounds of nitrogen and sulphur dioxide should be particularly closely watched.,窒素と二酸化硫黄の化合物に特に注意を払う必要があります。,,
on the subject,～に関する,the Strasbourg conference consider the establishment of a European databank on the subject.,ストラスブール会議は、その主題に関するヨーロッパのデータベースの設立を検討しています。,,
preventative,予防の・防止する,All information used in the development of national preventative policies would become generally available.,国の予防政策の策定に使用されたすべての情報が一般に利用可能になります。,やや口語的で、日常会話で使われることが多い,
thinly,まばらに・薄く,A thinly scattered permanent population and development of leisure activities,薄く散っている恒久的な人口とレジャー活動の発展,,
preventive,予防の・防止する,Preventive measures were implemented to stop the spread of the virus.,ウイルスの拡散を防ぐための予防措置が実施されました。,より広く使われ、医学や健康に関連する文脈でよく見られる,
have resulted in ~,〜を引き起こした,"A thinly scattered permanent population and development of leisure activities, particularly skiing, have resulted in significant long-term changes to the local ecosystems.",薄く散在する常設の人口と、特にスキーによるレジャー活動の発展は、地域の生態系に長期的かつ重要な変化をもたらしています。,,
preferential,優先の・優遇の,Proposed developments include a preferential research program on mountain forests.,提案された開発には、山林に関する優先的な研究プログラムが含まれます。,,
be accentuated by ～,～によって強調される・～によって際立つ・～によって目立つ,their effects are probably accentuated by climatic factors,彼らの影響はおそらく気候要因によって強調されています。,,
with responsibility for ~,〜に責任を持つ,Their final text commits them to on-going discussion between government representatives with responsibility for forests.,彼らの最終テキストは、森林を担当する政府代表者の間で継続的な議論を導入します。,,
joint,共同の・共有の,Eurosilva should support joint European research on tree diseases and their physiological and biochemical aspects.,ユーロシルヴァは、樹木病とそれらの生理学的および生化学的側面に関する共同ヨーロッパ研究を支援するべきです。,,
concerned,関係している・興味がある,Each country concerned could increase the number of scholarships and other financial support for doctoral theses and research projects in this area.,各関係国は、この分野の博士論文や研究プロジェクトのための奨学金やその他の財政支援の数を増やすことができます。,,
in the last week of A,Aの最終週,I'd like to go with another friend in the last week of October.,10月の最後の週に、もう一人友達と一緒に行きたいです。,,
go with ~,〜と一緒に行く,I'd like to go with another friend in the last week of October.,10月の最後の週に別の友達と行きたいと思います。,,
