単語,意味,例文,例文訳,類義語,メモ
lien,先取特権,The bank placed a lien on the property due to the unpaid loan.,銀行は、未払いのローンのためにその物件に抵当権を設定しました。,,
literacy,識字能力,Improving literacy rates in developing countries is crucial for overall socioeconomic development.,発展途上国における識字率の向上は総合的な経済発展にとって重要です。,,
liquidate,清算する,"After the company filed for bankruptcy, they had to liquidate all their assets to pay off their debts.",会社が破産申請をした後、彼らは借金を返済するために全資産を精算しなければなりませんでした。,,
litter,散らかす,"Please don't litter on the beach, it's important to keep our environment clean.",海岸にゴミを捨てないでください、環境をきれいに保つことが重要です。,,
luncheon,昼食会,I will attend the luncheon meeting tomorrow.,明日、私は昼食会議に出席します。,,
lobby,陳情する,They lobbied the government for increased funding for education.,彼らは教育への資金増加を求めて政府にロビー活動を行った。,,
magnify,拡大する,I will magnify the image to see more details.,画像を拡大して、より詳細を見ます。,,
maintenance,維持,Regular maintenance of your car will help ensure it runs smoothly for years to come.,あなたの車の定期メンテナンスは、将来もスムーズに走ることを助けます。,,
majority,大多数,The majority of the students passed the exam with flying colors.,ほとんどの学生が合格点を取得しました。,,
mandatory,義務的な,Wearing a seatbelt is mandatory while driving in many countries.,多くの国で運転中のシートベルト着用は義務付けられています。,,
manipulate,操作する,She learned to manipulate the settings on the software to increase productivity.,彼女は生産性を高めるためにソフトウェアの設定を操作する方法を学びました。,,
manuscript,原稿,Could you please send me the final version of the manuscript?,原稿の最終版を送っていただけませんか？,,
margin,余白,Remember to leave enough margin when formatting your document for a clean and professional look.,ドキュメントをフォーマットする際は、きれいでプロフェッショナルな見た目になるように、十分な余白を残すことを忘れないでください。,,
meanwhile,その間,"She was busy studying for her exams; meanwhile, he was out enjoying the sunshine.",彼女は試験勉強に忙しかった。その一方、彼は外で太陽を楽しんでいました。,,
mature,成熟する,His ideas began to mature as he gained more life experience.,彼の考えは、彼がもっと人生経験を積むにつれて熟成し始めました。,,
merge,合併する,The two companies decided to merge in order to create a stronger presence in the market.,2つの会社は、市場でより強力な存在を作るために合併を決定しました。,,
medication,薬,I need to pick up my medication from the pharmacy today.,今日、薬局で薬を受け取る必要があります。,,
mentor,指導者,"He served as a mentor to the new employees, guiding them through their tasks.",彼は新入社員の指導者として、彼らを仕事の手引きをしながらサポートしました。,,
migration,移行,The migration to the new system was seamless.,新しいシステムへの移行はスムーズでした。,,
minimize,最小化する,We should minimize our expenses to save money.,お金を節約するために、支出を最小限に抑えるべきです。,,
metric,指標,The metric used to evaluate employee performance includes both quantitative and qualitative factors.,従業員のパフォーマンスを評価するために使用される尺度には数量的要素と質的要素の両方が含まれています。,,
misconduct,不正行為,The company took swift action to address the employee's misconduct.,会社は、従業員の不正行為に対処するために迅速な対応を取りました。,,
misleading,誤解を招く,The advertisement was misleading to consumers about the product's effectiveness.,広告は消費者に製品の効果について誤解を招くものでした。,,
moderate,適度な,Please drink coffee in moderate amounts to avoid feeling jittery.,過剰にコーヒーを飲まないよう、適量でお飲みください。,,
modify,修正する,I need to modify the document before sending it.,送る前に文書を修正する必要があります。,,
monopoly,独占,The company gained a monopoly over the market.,会社は市場で独占を得ました。,,
monitor,監視する,We monitor the security cameras 24/7.,私たちはセキュリティカメラを24時間365日監視しています。,,
motivate,やる気を起こさせる,She always knows how to motivate her team members to do their best.,彼女はいつもチームメンバーを最善を尽くすように動機づける方法を知っています。,,
negotiate,交渉する,I will negotiate the terms of the contract with the supplier.,私はサプライヤーと契約条件を交渉します。,,
negligence,過失,The company was found liable for negligence in maintaining workplace safety standards.,会社は職場安全基準の維持における過失について責任を問われました。,,
nominate,指名する,The committee will nominate a new candidate for the position.,委員会は、そのポジションの新しい候補者を指名します。,,
notify,通知する,Please notify me once the package is delivered to my address.,商品が私の住所に届いたらお知らせください。,,
nourish,養う,"Parents work hard to nourish their children with love, food, and education.",親は愛と食べ物と教育で子供を育てるために一生懸命働きます。,,
nullify,無効にする,The judge decided to nullify the contract due to a breach of its terms.,裁判官は、契約の条件を破ったため、無効にすることを決定しました。,,
numerous,多数の,There were numerous errors in the report that needed to be corrected.,レポートには多くの修正が必要なエラーがありました。,,
objective,目的,The objective of the mission was to gather critical data.,ミッションの目的は重要なデータを収集することでした。,,
obligation,義務,It is your obligation to follow the rules and guidelines set forth by the company.,会社が設定した規則やガイドラインに従うのはあなたの義務です。,,
obscure,あいまいな,"The meaning of the phrase ""obscure"" as ""あいまいな"" is not clear to me.",短句obscure の意味をあいまいなという意味と理解できません。,,
observe,観察する,I need to observe the stars tonight for my astronomy project.,今夜、天文学の課題のために星を観察する必要があります。,,
obstruct,妨害する,The fallen tree obstructed the path in the woods.,倒れた木が森の道を塞いでいた。,,
obtain,得る,She worked hard to obtain a scholarship for her studies.,彼女は勉強資金を得るために一生懸命働きました。,,
occupy,占める,The hotel room will occupy two guests during the weekend.,週末にホテルの部屋には2人のゲストが宿泊します。,,
occur,起こる,Accidents can occur unexpectedly.,事故は予期せず発生することがあります。,,
offset,相殺する,Their debt was offset by their savings.,彼らの借金は貯金で相殺されました。,,
omit,省略する,Please omit the unnecessary details from your report.,レポートから不要な詳細を省いてください。,,
offense,違反,Speeding is considered a traffic offense in many places.,多くの場所で、スピード違反は交通違反とみなされています。,,
onset,開始,The onset of winter brought snow to the region.,冬の訪れにより、その地域に雪が降った。,,
operate,操作する,The technician will operate the machine to run a diagnostic test.,技術者は診断テストを実行するために機械を操作します。,,
opportunity,機会,I am grateful for this new opportunity to learn and grow.,この新たな学びと成長の機会に感謝しています。,,
oppose,反対する,She will strongly oppose the new policy changes at the next board meeting.,彼女は次の取締役会で新しい政策変更に強く反対するでしょう。,,
opponent,対戦相手,She quickly analyzed her opponent's strategy and prepared to make her move.,彼女は素早く相手の戦略を分析し、自分の手を打つ準備をした。,,
optimal,最適な,She always strives to find the optimal solution for every problem she encounters.,彼女は常に遭遇するすべての問題に最適な解決策を見つけようと努力します。,,
option,選択肢,I need to consider every option before making a decision.,決定する前にすべての選択肢を考慮する必要があります。,,
oral,口頭の,The students were asked to give an oral presentation in class.,生徒たちは授業で口頭プレゼンテーションを行うよう求められました。,,
orchestrate,統合する,She was able to orchestrate all of the different elements into a cohesive presentation.,彼女はすべての異なる要素を統一されたプレゼンテーションにまとめることができました。,,
ordinary,通常の,"She led an ordinary life, working a 9-to-5 job and coming home to relax in the evenings.",彼女は普通の生活を送り、9時から5時の仕事をして、夜はリラックスするために家に帰りました。,,
organize,組織する,Please organize the files on the shelf by category.,棚のファイルをカテゴリー別に整理してください。,,
outlet,販売店,I need to stop by the outlet to pick up some new clothes for the weekend.,週末のために新しい服を購入するために、アウトレットに立ち寄る必要があります。,,
outlook,見通し,The economic outlook for the upcoming year appears positive.,来年の経済見通しはポジティブなようです。,,
outsource,外注する,The company decided to outsource their customer service operations to a third-party vendor.,会社は顧客サービス業務を第三者ベンダーに外部委託することを決定しました。,,
outstanding,傑出した,The student received an outstanding grade on her research project.,その学生は彼女の研究プロジェクトで優れた成績を受け取りました。,,
overall,全体的な,"Overall, the project was a success due to everyone's contributions.",全体的に、全員の貢献があったため、そのプロジェクトは成功した。,,
overcome,克服する,She was determined to overcome her fear of public speaking.,彼女は公の場で話すことへの恐怖を克服する決意を持っていた。,,
overdue,期限切れの,"The library books are now overdue, so you will need to return them soon.",図書館の本が今遅れているので、すぐに返却する必要があります。,,
overlap,重複する,"The two schedules overlap, causing a conflict.",2つのスケジュールが重なり、衝突を引き起こしています。,,
overturn,覆す,The court's decision to overturn the lower court's ruling surprised everyone.,裁判所が下級裁判所の判断を覆した決定は、誰もを驚かせました。,,
oversee,監督する,He was hired to oversee the construction of the new office building.,彼は新しいオフィスビルの建設を監督するために雇われました。,,
overview,概要,The professor provided a comprehensive overview of the course material during the first lecture.,最初の講義で、教授はコースの概要を網羅的に説明しました。,,
