単語,意味,例文,例文の訳,類義語,メモ
end up with,最終的に〜になる・結果として〜を持つ,He ended up with a better result than expected.,彼は最終的に予想以上に良い結果を得た。,result in,
sludge,ヘドロ,The factory produced a large amount of sludge.,その工場は大量のヘドロを生み出した。,residue,
potassium,カリウム,Potassium is an important chemical element.,カリウムは重要な化学元素である。,element,
incorporate,〜を組み込む・取り入れる,The design incorporates new technology.,その設計は新しい技術を取り入れている。,include,
dichromate,ニクロム酸塩,Dichromate is used in some chemical reactions.,ニクロム酸塩はいくつかの化学反応で使われる。,chromate,
textile,織物・生地・繊維製品,The textile industry is important to the economy.,繊維産業は経済にとって重要だ。,fabric,
glandular,腺の・腺に関する,The disease affects glandular tissue.,その病気は腺組織に影響を与える。,secretory,
excretion,排出・排泄,Excretion is a basic biological process.,排泄は基本的な生物学的過程である。,elimination,
aniline,アニリン,Aniline is used to make dyes.,アニリンは染料を作るために使われる。,dyestuff,"化学的性質
アニリンはベンゼン環にアミノ基（-NH₂）が結合した化合物で、弱い塩基性を示します。水に溶けにくいが、有機溶媒には溶けます。"
solution,溶液,Salt was dissolved in the solution.,塩は溶液に溶かされた。,mixture,
muddy,"くすんだ・泥だらけの
汚す・曖昧にする",The river became muddy after the rain.,雨の後、川は濁った。,dirty,
mucus,粘液,Mucus protects the body from infection.,粘液は体を感染から守る。,slime,
snail,カタツムリ,A snail moves very slowly.,カタツムリはとてもゆっくり動く。,gastropod,
outrageously,とんでもなく・常識はずれに,The price was outrageously high.,その価格はとんでもなく高かった。,absurdly,
against,〜を背景として・〜に対して,The painting stood out against a dark wall.,その絵は暗い壁を背景によく目立った。,in contrast to,
extract,"抽出する・取り出す
抽出物",The scientist extracted oil from the plant.,科学者は植物から油を抽出した。,remove,
lose no time in ～ing ,～するのに時間を全く無駄にしない・即座にする,He lost no time in starting the experiment.,彼はすぐに実験を始めた。,immediately,
grasp,"しっかり掴む・理解する
把握・理解力・支配力",She quickly grasped the main idea.,彼女は要点をすぐに理解した。,understand,
patent,"特許
特許の
特許権を取る・特許権を与える",The company applied for a patent.,その会社は特許を申請した。,trademark,
backdrop,背景・状況,The city skyline formed a beautiful backdrop.,街のスカイラインは美しい背景を作っていた。,background,
fierce,激しい・猛烈な,There was fierce competition for the job.,その仕事には激しい競争があった。,intense,
instant,"すぐの・即座の・切迫した
瞬間・まさにその時",He gave an instant reply.,彼は即座に返事をした。,immediate,instant は、即時性を強調する文脈で使われるため、「nearly」「almost」などの副詞と一緒に用いることで「ほぼ」「実質的に」というニュアンスを加えることが多いです。
utilise,利用する・活用する,The company aims to utilise renewable energy.,その会社は再生可能エネルギーを活用することを目指している。,use,
objection,異議・反対,There was an objection to the proposal.,その提案には反対意見があった。,opposition,
synthetically,人工的に・合成的に,The drug was produced synthetically.,その薬は人工的に作られた。,artificially,
empress,皇后・女帝,The empress ruled with great power.,その皇后は大きな権力をもって統治した。,queen,
plentiful,豊富な・十分な量のある,Food was plentiful during the summer.,夏の間、食料は豊富だった。,abundant,
all tha rage,大流行している,That style of clothing is all the rage.,その服装のスタイルは大流行している。,trending,
shade,色合い・影,The artist chose a soft shade of blue.,その芸術家は柔らかな青の色合いを選んだ。,tone,
outdo,勝る,He tried to outdo his rival.,彼はライバルに勝ろうとした。,surpass,
flatter,"お世辞を言う・嬉しがらせる・引き立てる
媚び諂う・お世辞を言う",The praise was meant to flatter her.,その称賛は彼女を喜ばせるためのものだった。,compliment,
rage,"激怒・流行り
激怒する",The new app became a rage among teenagers.,その新しいアプリは若者の間で流行した。,trend,
merely,単に・,He was merely a beginner at the time.,彼は当時、単なる初心者だった。,simply,
clamor,"大声で要求する・強く求める
騒音",Workers clamor for better conditions.,労働者たちはより良い条件を大声で要求している。,shout,
attainment,達成・成績,Graduation marked a major attainment.,卒業は大きな達成だった。,achievement,
microbe,微生物,The microbe can cause disease.,その微生物は病気を引き起こす可能性がある。,germ,
bold,"大胆な・勇敢な・（色やデザインが）際立つ、鮮明な
太字",She made a bold decision.,彼女は大胆な決断をした。,courageous,
reasonably,適切に・合理的に・ほどほどに,The task was reasonably easy.,その課題はほどほどに簡単だった。,fairly,
spacious,広々とした・ゆったりとした,They live in a spacious apartment.,彼らは広々としたアパートに住んでいる。,large,
proportion,割合・比率,The proportion of students increased.,学生の割合は増加した。,ratio,
incidentally,ちなみに・ついでに・偶然に,"Incidentally, he also speaks French.",ちなみに、彼はフランス語も話す。,by the way,
let off steam,ストレスを発散する・怒りをぶつける,He went for a run to let off steam.,彼はストレスを発散するために走りに行った。,release stress,
unstreamed,能力編成されていない,The school has unstreamed classes.,その学校には能力別編成されていないクラスがある。,mixed-ability,
formal address,改まった挨拶,The speech began with a formal address.,そのスピーチは改まった挨拶で始まった。,greeting,
Virtually ,実質的には,Virtually everyone agreed with the plan.,実質的には、ほぼ全員がその計画に賛成した。,almost,
bow,"お辞儀
お辞儀をすること",They gave a deep bow to the audience.,彼らは観客に深くお辞儀をした。,bowing,
in practice,実際には・実際のところ,"In practice, the rule is hard to follow.",実際には、その規則は守るのが難しい。,in reality,
centralised,中央集権化された,The system is highly centralised.,その制度は高度に中央集権化されている。,centralized,
elaborate,"詳細に述べる・詳しく説明する
精巧な・手の込んだ",He asked her to elaborate on the idea.,彼はその考えを詳しく説明するよう求めた。,expand,
compulsory,義務的な・必修の,Attendance is compulsory for all students.,出席はすべての学生にとって必修である。,mandatory,
cartoon,漫画,The cartoon was popular with children.,その漫画は子どもたちに人気だった。,comic,
presumably,推定上・おそらく,"Presumably, the results will improve.",おそらく結果は改善するだろう。,probably,
brought up,育てられる・教育を受ける,He was brought up in a small town.,彼は小さな町で育てられた。,raised,
elaboration,詳細化・精緻化,The report needs further elaboration.,その報告書にはさらなる詳細化が必要だ。,detail,
work through,（順序立てて）取り組む,We need to work through the problems.,私たちは問題に順を追って取り組む必要がある。,deal with,
repetition,繰り返し・反復,Learning requires repetition.,学習には繰り返しが必要だ。,iteration,
homogeneity,均質性・一様,The mixture showed homogeneity.,その混合物は均質性を示した。,uniformity,
render,～を～にする・与える・提供する,The decision will render the plan useless.,その決定は計画を無意味なものにするだろう。,make,
adequate,十分な・適切な,The facilities are adequate for students.,その設備は学生にとって十分だ。,sufficient,
foster,促進する・育む,Good teachers foster creativity.,良い教師は創造性を育む。,encourage,
scarcely,ほとんど〜ない・かろうじて,There was scarcely any time left.,ほとんど時間が残っていなかった。,hardly,
supplementary,補足的な・追加の,Supplementary materials were provided.,補足資料が提供された。,additional,
conversely,逆に・反対に,"Conversely, some people disagreed.",逆に、反対する人もいた。,contrarily,
coupled with,〜に加えて・〜と関連して,Experience coupled with skill is important.,経験に加えて技術が重要である。,combined with,". 具体例での違い
• and を使用:
Success in this project depends on creativity and hard work.
→ 創造性と勤勉さがそれぞれ重要な役割を果たす。
• coupled with を使用:
Success in this project depends on creativity coupled with hard work.
→ 創造性が主軸であり、それに勤勉さが関連して成功に寄与する。"
pointless,無意味な,Arguing further would be pointless.,これ以上議論するのは無意味だ。,meaningless,
runs along the lines of,～の方向性に沿っている・～の考え方に基づいている,The plan runs along the lines of the proposal.,その計画は提案の方向性に沿っている。,follows,
current,流れ・電流・傾向,Ocean currents affect climate.,海流は気候に影響を与える。,flow,
wind,風・大気の流れ,The wind was strong near the coast.,沿岸では風が強かった。,air movement,
prospect,"可能性・見込み
探鉱する・調査する",There is a good prospect of success.,成功の見込みは十分にある。,possibility,
turbine,タービン,The turbine generates electricity.,そのタービンは電気を生み出す。,generator,
tidal,潮の・潮汐,Tidal energy is renewable.,潮汐エネルギーは再生可能である。,oceanic,
saline,"塩分を含んだ
塩水",The lake water is saline.,その湖の水は塩分を含んでいる。,salty,
self-sufficient,自給自足の,The village is self-sufficient.,その村は自給自足している。,self-reliant,
hostile,敵意のある・不利な環境の,The workers faced hostile conditions.,労働者たちは敵意のある環境に直面した。,adverse,
ailing,病気の・不調な・苦境にある,The company is in an ailing state.,その会社は不調な状態にある。,unwell,
drastically,劇的に・大幅に・徹底的に,Prices fell drastically last year.,価格は昨年大幅に下落した。,dramatically,
be unlikely to be,〜する可能性が低い,He is unlikely to be late.,彼が遅れる可能性は低い。,unlikely,
indented,ジグザグの・でこぼこの・字下げした,The coastline is deeply indented.,その海岸線は深く入り組んでいる。,jagged,
jointly,共同で・合同で,The project was completed jointly.,そのプロジェクトは共同で完了した。,together,
