単語,意味,例文,例文訳,類義語,メモ
prescribe,処方する,Doctors prescribe medication to treat various health conditions.,医師はさまざまな健康問題を治療するために薬を処方します。,,
presence,存在,His presence at the meeting was reassuring to everyone.,会議で彼がいたことは皆に安心感を与えた。,,
prestigious,名声のある,She received a prestigious award for her scientific research.,彼女は科学研究に対して名誉ある賞を受賞しました。,,
presume,推定する,I presume he will arrive within the hour.,私は彼が1時間以内に到着すると思います。,,
prevail,普及する,Electric vehicles are starting to prevail as the preferred choice among environmentally-conscious consumers.,電気自動車は、環境に配慮した消費者の間で好まれる選択肢として台頭し始めています。,,
prevalent,広く行き渡った,Racism is still prevalent in many parts of society today.,人種差別は今日でも社会の多くの部分で依然として広く見られます。,,
prevent,防ぐ,Wearing a helmet can prevent head injuries while cycling.,ヘルメットを着用することは、サイクリング中の頭部の怪我を防ぐことができます。,,
previous,以前の,I have already met her previous boyfriend.,彼女の元カレにはもう会いました。,,
primary,主要な,The primary purpose of the meeting is to discuss the new project.,会議の主な目的は、新しいプロジェクトについて話し合うことです。,,
principal,主要な,The principal aim of the project is to increase efficiency.,プロジェクトの主な目的は効率を向上させることです。,,
priority,優先事項,Completing urgent tasks is my top priority.,緊急なタスクの完了が私の最優先事項です。,,
prior,前の,I need to review the prior information before making a decision.,意思を決める前に以前の情報を再確認する必要があります。,,
privilege,特権,Having the privilege of attending a prestigious university opened many doors for her future career.,名門大学に通う特権を持つことは、将来のキャリアに多くの可能性を拓く。,,
probe,調査する,I will probe the issue further to gather more information.,さらに情報を集めるために、問題を探求します。,,
procedure,手順,Please follow the procedure outlined in the instruction manual for proper assembly.,適切な組み立てのために取扱説明書に記載されている手順に従ってください。,,
proceed,進む,"After securing the area, the team can proceed with the next stage of the mission.",エリアを確保した後、チームはミッションの次の段階に進むことができます。,,
process,処理する,I need to process the paperwork before we can move forward with the project.,プロジェクトを進める前に書類手続きを進める必要があります。,,
procure,調達する,I need to procure more materials for the project.,プロジェクト用により多くの資材を調達する必要があります。,,
proficient,熟達した,She is proficient in multiple languages.,彼女は複数の言語に堪能です。,,
profile,概要,I need to update my profile with my latest work experience.,最新の勤務経験をプロフィールに更新する必要があります。,,
prohibit,禁止する,Smoking is prohibited in this area.,このエリアでは喫煙が禁止されています。,,
project,見積もる,I need to project the costs for the upcoming renovation.,次回のリノベーションのコストを見積もる必要があります。,,
prominent,著名な,He is a prominent scientist in the field of genetics.,彼は遺伝学の分野で著名な科学者です。,,
prompt,促す,I prompted my team to meet the deadline by sending gentle reminders throughout the week.,私は週の間ずっと穏やかなリマインダーを送ることで、チームに期日を守るよう促しました。,,
promote,昇進させる,The company decided to promote Alex to a higher position in recognition of his hard work and dedication.,会社は、アレックスの努力と献身を認め、彼を高いポジションに昇進させることを決定しました。,,
proof,証拠,She presented undeniable proof of his innocence.,彼女は彼の無実の証拠を示した。,,
propel,推進する,The strong winds helped propel the sailboat forward.,強い風が帆船を前進させるのを助けました。,,
property,財産,She inherited a large property from her grandparents.,彼女は祖父母から大きな財産を相続しました。,,
proponent,支持者,The proponent of the new policy has garnered strong support from the community.,新しい方針の提唱者は、地域から強力な支持を得ています。,,
prospect,見込み,There is a promising prospect of finding a new job soon.,新しい仕事を見つける見込みがある。,,
proprietary,専有の,The company developed a proprietary software program for data analysis.,会社はデータ分析のための独自のソフトウェアプログラムを開発しました。,,
prosper,繁栄する,The business began to prosper after implementing the new marketing strategy.,新しいマーケティング戦略を導入した後、そのビジネスは繁栄し始めました。,,
provision,条項,The contract includes a provision for early termination.,契約には、早期解約の規定が含まれています。,,
provider,提供者,The internet service provider offers high-speed connections to customers.,インターネットサービスプロバイダーは、顧客に高速接続を提供しています。,,
publicize,公表する,The company plans to publicize their new product launch next week.,会社は来週、新製品の発表を公表する予定です。,,
publish,出版する,The author will publish her new book next month.,著者は来月新しい本を出版します。,,
protocol,手順,Please follow the protocol to reset your password.,パスワードをリセットするためにプロトコルに従ってください。,,
punctual,時間厳守の,She is always punctual and never late for any appointments.,彼女はいつも時間通りで、どんな約束にも遅れることはありません。,,
purchase,購入する,She decided to purchase a new car.,彼女は新しい車を購入することに決めました。,,
qualification,資格,He obtained the necessary qualification to apply for the job.,彼はその仕事に応募するために必要な資格を取得しました。,,
pursue,追求する,She decided to pursue her passion for painting.,彼女は絵を描く情熱を追求することに決めました。,,
quantify,定量化する,I need to quantify the amount of data collected for our research project.,研究プロジェクトで収集したデータの量を定量化する必要があります。,,
quota,割り当て,Each employee is required to meet their monthly sales quota.,各従業員は、毎月の売上ノルマを達成する必要があります。,,
quarterly,四半期ごとの,I receive my quarterly bonus at the end of every three months.,私は3ヶ月ごとに四半期ボーナスを受け取ります。,,
quote,引用する,Please quote the passage from the book in your report.,レポートに書いてある本の箇所を引用してください。,,
radiate,放射する,The sun radiates light and warmth.,太陽は光と暖かさを放射します。,,
range,範囲,The store offers a wide range of products to choose from.,お店では選ぶための幅広い製品が提供されています。,,
ratify,批准する,The Senate is scheduled to ratify the new trade agreement next week.,来週、上院は新しい貿易協定を批准する予定です。,,
ratio,比率,The ratio of boys to girls in the class is 2 to 3.,クラスの男子と女子の割合は2対3です。,,
realistic,現実的な,It's important to have realistic expectations when planning for the future.,未来を計画する際には現実的な期待を持つことが重要です。,,
realm,領域,The realm of science fiction often explores futuristic possibilities.,科学小説の世界はしばしば未来の可能性を探索します。,,
rebate,払い戻し,I received a rebate for the faulty product I bought last month.,先月購入した不良品に対するリベートを受け取りました。,,
rebound,回復する,He is working hard to rebound from his recent illness.,彼は最近の病気から立ち直るために一生懸命働いています。,,
rebuild,再建する,The city decided to rebuild the historic landmark after it was damaged in the storm.,市は、その歴史的な名所が嵐で損傷を受けた後、再建することを決定しました。,,
recall,思い出す,I recall the day we first met.,初めて出会った日を思い出します。,,
recession,不況,"During a recession, many people struggle to find employment.",不景気時には、多くの人々が雇用を見つけるのに苦労します。,,
recipient,受取人,The recipient of the package signed for it upon delivery.,荷物の受取人が、受け取り時に署名しました。,,
reciprocal,相互の,The two friends have a reciprocal agreement to help each other out whenever needed.,ふたりの友達は、必要な時にお互いを助け合う相互協定を持っています。,,
reckon,考える,I reckon we should discuss this matter further before making a decision.,私たちは決定する前に、この問題についてさらに話し合うべきだと思うわ。,,
reclaim,再生する,The community worked together to reclaim the polluted river back to its original state.,コミュニティは汚染された川を本来の状態に取り戻すために協力しました。,,
recognize,認識する,I recognize her voice from across the room.,部屋の向こう側から彼女の声を聞き分けました。,,
