単語,意味,例文,例文の訳,類義語,メモ
is not the only variable that ~,〜する唯一の要因ではない,Predictability is not the only variable that reduces or eliminates the negative effects of noise.,予測可能性は、騒音の負の影響を減少させたり排除する唯一の変数ではありません。,,
exercise one's option to ~,〜する選択肢を実行に移す,This is true even if the individual never actually exercises his or her option to turn the noise off,この個人が実際にノイズを消す選択肢を行使しない場合でも、これは真実です。,,
so far,今までに,The studies discussed so far exposed people to noise for only short periods and only transient effects were studied.,これまでに議論された研究では、人々は短時間だけ騒音にさらされ、一時的な影響のみが研究されました。,,
transient,一時的な,The studies discussed so far exposed people to noise for only short periods and only transient effects were studied.,これまでに議論されてきた研究は、人々に騒音をわずかな時間にだけさらし、一時的な影響だけが研究されています。,,
It takes a while for A to B,時間・過程,"Apparently, unpredictable noise produces more fatigue than predictable noise, but it takes a while for this fatigue to take its toll on performance.",おそらく、予測できない騒音の方が予測可能な騒音よりも疲労を引き起こすようですが、この疲労がパフォーマンスに影響を及ぼすまでには時間がかかります。,,
day after day,毎日毎日,"the major worry about noisy environments is that living day after day with chronic noise may produce serious, lasting effects.",騒々しい環境についての主な懸念は、慢性的な騒音と日々生活をすることが深刻で長期間の影響をもたらす可能性があることです。,,
distract,気を散らす・取り乱らせる,It was found that children from the noisy schools had higher blood pressure and were more easily distracted than those who attended the quiet schools.,騒々しい学校に通う子どもたちの方が、血圧が高く、静かな学校に通う子どもたちよりも気が散りやすいことがわかりました。,,
distractible,注意散漫な・ボーとしている,"the longer the children had attended the noisy schools, the more distractible they became.",子どもたちが騒々しい学校に通っている期間が長くなるほど、彼らはますます気を散らしやすくなりました。,,
ethnicity,民族・民族性,"they were comparable in age, ethnicity, race, and social class.",彼らは年齢、民族性、人種、社会階級で比較できた。,,
race,人種,"they were comparable in age, ethnicity, race, and social class.",彼らは年齢、民族、人種、社会階級で比較できる。,,
spring to mind,思い浮かぶ,the creatures that spring immediately to mind are apes and monkeys.,心に浮かぶ生物は、猿や猿です。,,
ape,類人猿,the creatures that spring immediately to mind are apes and monkeys.,心に即座に思い浮かぶ生物は猿やサルです。,,
Among these,その中でも,"Among these, the world of the ant has come in for considerable scrutiny lately",これらの中で、最近アリの世界がかなりの注目を浴びています。,,
come in for,〔批判などを〕受ける・浴びる・～に役立つ,"Among these, the world of the ant has come in for considerable scrutiny lately",これらのうち、最近アリの世界がかなりの関心を集めています。,,
scrutiny,精密な調査・精査,"Among these, the world of the ant has come in for considerable scrutiny lately",これらの中で、最近アリの世界がかなりの検証を受けています。,,
spark of ～,～の兆し・小さな気配・ひらめき,the idea that ants demonstrate sparks of cognition has certainly not been rejected by those involved in these investigations.,アリが認知の要素を示している可能性、この考えは、この調査に関わる者たちによって間違いなく拒否されていません。,,
repel,撃退する・拒絶する,"Ants store food, repel attackers and use chemical signals to contact one another in case of attack.",アリは食べ物を蓄え、攻撃者を撃退し、襲撃の際にお互いに化学信号を使って連絡を取り合います。,,
in case of ~,〜の場合に備えて,"Ants store food, repel attackers and use chemical signals to contact one another in case of attack.",アリは食料を貯蔵し、攻撃者を追い払い、攻撃があった場合にお互いに連絡を取るために化学信号を使います。,,
as in ~,〜に見られるように,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",このような化学的なコミュニケーションは、感情や態度を喚起し広めるために、視覚や聴覚チャンネル（宗教的な詠唱、広告画像やジングル、政治的なスローガンや軍事音楽など）を使う人間の方法に例えられる。,,
can be compared to ~,〜に例えられる・～と比べることができる,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的コミュニケーションは、人間が視覚や聴覚チャネルを使って（宗教的な詠唱、広告画像やジングル、政治的なスローガンや軍事音楽など）気分や態度を引き起こし、広めることと比較される。,,
religious,宗教的,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的コミュニケーションは、人が視覚と聴覚チャネル（宗教的な応援歌、広告画像やジングル、政治的スローガンや軍事音楽など）を使って感情や態度を引き起こし、伝えることと比較できます。,,
jingle,CMソング・単調な音の繰り返し,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",こうした化学的なコミュニケーションは、人間が視覚的および聴覚的なチャネル（宗教的な詠唱、広告画像やジングル、政治的なスローガン、軍楽など）を使ってムードや態度を喚起し伝播させることと比較される。,,
martial,軍の・戦争の,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的なコミュニケーションは、人間が視覚や聴覚チャンネルを使うこと（宗教的な唱和、広告イメージやジングル、政治的なスローガンや軍歌など）と比較でき、感情や態度を喚起し広めるためのものです。,,
chant,聖歌,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的コミュニケーションは、感情や態度を喚起し伝達するために、視覚的および聴覚的チャンネル（宗教的な詠唱、広告画像やジングル、政治的標語や軍歌など）を使用する人間と似ています。,,
so ~ as to …,〜なので…するほどだ,The biologist Lewis Thomas wrote Ants are so much like human beings as to be an embarrassment.,生物学者のルイス・トーマスは蟻は人間にとって恥ずべきほどに似ていると書きました。,,
arouse,刺激する・喚起する,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的コミュニケーションは、感情や態度を引き起こすために視覚と聴覚のチャネルを利用する人間の方法（宗教的な唱和、広告画像やジングル、政治的なスローガンや軍楽など）に比較できる。,,
propagate,〔思想などを〕広める・伝える,"Such chemical communication can be compared to the human use of visual and auditory channels (as in religious chants, advertising images and jingles, political slogans and martial music) to arouse and propagate moods and attitudes.",そのような化学的なコミュニケーションは、視覚や聴覚のチャネルを使って気分や態度を引き起こし伝播する人間の使用と比較できます（宗教的な歌、広告画像やジングル、政治的なスローガンや戦闘音楽など）。,,
whereas,一方で,everything must be encoded in the genes – whereas in humans the opposite is true.,すべてが遺伝子にエンコードされなければならない-一方、人間ではその逆が真実だ。,,
everything but ~,以外は何でも,They do everything but watch television.,彼らはテレビを見る以外の全てをします。,,
ceaselessly,絶え間なく,"They farm fungi, raise aphids as livestock, launch armies to war, use chemical sprays to alarm and confuse enemies, capture slaves, engage in child labour, exchange information ceaselessly.",彼らはキノコを栽培し、アブラムシを家畜として育て、軍隊を戦争に差し向け、化学スプレーを使って敵を驚かせ混乱させ、奴隷を捕らえ、児童労働に従事し、絶えず情報を交換する。,,
be carried in ~,〜の中に含まれている・組み込まれている,Genetic information is carried in DNA.,遺伝子情報はDNAに運ばれています。,情報や信号・遺伝子のように、媒体に含まれているものに対しては自然,
give A an advantage over B,AにBに対する優位性を与える,It may seem that this cultural continuity gives us a huge advantage over ants.,この文化の連続性は、蟻たちに比べて私たちには莫大な利点をもたらすように思われるかもしれません。,,
herding crafts,（家畜の）飼育技術,Their fungus farming and aphid herding crafts are sophisticated when compared to the agricultural skills of humans five thousand-years ago but have been totally overtaken by modern human agribusiness.,彼らの菌栽培およびアブラムシの飼育の技術は、5000年前の人間の農業技術と比較して洗練されていますが、現代の人間の農業ビジネスに完全に取って代わられています。,,
secrete,分泌する・隠す,"Farmer ants secrete antibiotics to control other fungi that might act as 'weeds', and spread waste to fertilise the crop.",農夫蟻は、他の雑草として働くかもしれない他の菌をコントロールするために抗生物質を分泌し、廃棄物を拡散させて作物を肥やす。,,
fertilize,肥料をやる・肥やす,"Farmer ants secrete antibiotics to control other fungi that might act as 'weeds', and spread waste to fertilise the crop.",農夫アリは、他の雑草として振る舞うかもしれない他の菌類を制御するために抗生物質を分泌し、そして廃棄物を広げて作物を肥料にしています。,,
It was once thought that ~,かつて〜と考えられていた,"It was once thought that the fungus that ants cultivate was a single type that they had propagated, essentially unchanged from the distant past.",かつては、アリが栽培するキノコは、彼らが繁殖させてきた単一の種類であると考えられていました。それは、遠い過去からほとんど変わっていないとされていました。,,
cultivate,育てる・栽培する・耕す,"It was once thought that the fungus that ants cultivate was a single type that they had propagated, essentially unchanged from the distant past.",昔、アリが栽培するキノコは、彼らが遠い過去から変わらずに繁殖させていた1種類であると考えられていました。,,
distant past,遠い昔・はるか昔,"It was once thought that the fungus that ants cultivate was a single type that they had propagated, essentially unchanged from the distant past.",かつては、アリが養う菌が一つのタイプであると考えられていたが、それは基本的には変わらず、遠い過去から繁殖されたものだった。,,
turn out to be ~,結果として〜であると判明する,These turned out to be highly diverse: it seems that ants are continually domesticating new species.,これらは非常に多様であることがわかりました。アリは新しい種を絶えず飼いならしているようです。,,
even more impressively,さらに驚くべきことに,"Even more impressively, DNA analysis of the fungi suggests that the ants improve or modify the fungi by regularly swapping and sharing strains with neighboring ant colonies.",さらに印象的なことに、キノコのDNA解析は、蟻たちが近隣の蟻コロニーと定期的に株を交換し共有することで、キノコを改善または変更している可能性を示唆しています。,,
prehistoric man,先史時代の人間,prehistoric man had no exposure to urban lifestyles,原始人は都市生活に触れることはありませんでした。,,
be amazed at ~,〜に驚嘆する,"When we survey Mexico City, Tokyo, Los Angeles, we are amazed at what has been accomplished by humans.",メキシコシティ、東京、ロサンゼルスを調査すると、人間が成し遂げたことに驚かされます。,,
Yet,逆接「しかしながら」,"Yet Hoelldobler and Wilson's magnificent work for ant lovers, The Ants, describes a supercolony of the ant Formica yessensis on the Ishikari Coast of Hokkaido.",ホエルドブレールとウィルソンの素晴らしい著書『The Ants』は、北海道の石狩海岸に生息するヤエシアリ（Formica yessensis）のスーパーコロニーを描いています。,,
megalopolis,超巨大都市,"This 'megalopolis' was reported to be composed of 360 million workers and a million queens living in 4,500 interconnected nests across a territory of 2.7 square kilometers.","このメガロポリスは、2.7平方キロメートルの領域に分布する4,500のつながった巣に住む3億6000万人の労働者と100万匹の女王から成ると報告されています。",,
across a territory of ~,〜にわたる領域で,"This 'megalopolis' was reported to be composed of 360 million workers and a million queens living in 4,500 interconnected nests across a territory of 2.7 square kilometers.","この巨大都市は、2.7平方キロメートルの領域に分布する4,500の連結された巣に住む3億6,000万の働きアリと100万の女王アリで構成されていると報告されています。",,
enduring,持続する・我慢づよい,Such enduring and intricately meshed levels of technical achievement outstrip by far anything achieved by our distant ancestors.,その持続的で複雑に絡み合った技術的成果のレベルは、遠い先祖が達成したものをはるかに凌駕しています。,,
intricately,複雑に,Such enduring and intricately meshed levels of technical achievement outstrip by far anything achieved by our distant ancestors.,その長続きし、入り組んだ技術的な達成のレベルは、遠い先祖が達成したどんなものをも遥かに凌駕している。,,
intricately meshed,精巧に組み合わさった,Such enduring and intricately meshed levels of technical achievement outstrip by far anything achieved by our distant ancestors.,このような永続的で複雑に絡み合った技術的な成果のレベルは、遠い祖先によって達成されたものをはるかに上回っている。,,
outstrip A by far,Aをはるかに上回る,Such enduring and intricately meshed levels of technical achievement outstrip by far anything achieved by our distant ancestors.,こうした持続的で入り組んだ技術的業績のレベルは、はるかに遥かな祖先たちが達成したものを大きく凌駕しています。,,
hail A as B,AをBとして称賛する,"We hail as masterpieces the cave paintings in southern France and elsewhere, dating back some 20,000 years.","20,000年ほど前の南フランスや他の場所にある洞窟壁画を傑作として賞賛します。",,
date back ~,〜にさかのぼる,"We hail as masterpieces the cave paintings in southern France and elsewhere, dating back some 20,000 years.",南フランスや他の場所にある洞窟壁画を、約2万年前にさかのぼる傑作として称賛します。,,
existed in something like their present form,「今の形に近い形で存在した,Ant societies existed in something like their present form more than seventy million years ago.,アリの社会は、現在の形になるような何かが７０００万年以上前に存在していました。,,
masterpiece,傑作・名作・代表作,"We hail as masterpieces the cave paintings in southern France and elsewhere, dating back some 20,000 years.",南フランスや他の場所にある約2万年前に遡る洞窟壁画を、我々は傑作として讃える。,,
beside this,これと比べて,"Beside this, prehistoric man looks technologically primitive.",その上で、先史時代の人間は技術的に原始的に見えます。,,
primitive,原始的な・未発達の,"Beside this, prehistoric man looks technologically primitive.",これに加えて、先史時代の人は技術的に原始的に見える。,,
albeit,たとえ～でも・～にもかかわらず・～ではあるが,"Is this then some kind of intelligence, albeit of a different kind?",これは異なる種類の知性であるとしても、それが何かですか？,,
