単語,意味,例文,例文訳,類義語,メモ
cater,仕出しする,I will cater the event with a selection of delicious appetizers.,イベントには、おいしい前菜の選択肢を提供します。,,
certify,証明する,He needed to certify his identity before gaining access to the secure facility.,安全施設にアクセスする前に、彼は自分の身元を証明する必要がありました。,,
claim,主張する,He claimed that he was innocent.,彼は自分が無実だと主張した。,,
clarify,明確にする,Could you kindly clarify your instructions for this project?,このプロジェクトのための指示を明確にしていただけますか？,,
client,顧客,The client was pleased with the service provided.,クライアントは提供されたサービスに満足していました。,,
circulate,配布する,The librarian will circulate the new books to all the students.,司書は新しい本をすべての学生に配る予定です。,,
closure,閉鎖,The closure of the school was announced due to the severe weather conditions.,学校の閉鎖が厳しい天候条件によって発表されました。,,
collateral,担保,The bank required collateral for the business loan.,銀行は事業ローンの担保を求めた。,,
commence,開始する,The project is set to commence next week.,プロジェクトは来週開始予定です。,,
commission,手数料,"If you sell the car through the dealership, they will charge a commission for their services.",ディーラーシップを通して車を売る場合、彼らはサービス料を請求します。,,
commitment,約束,I kept my commitment to meet you at the agreed-upon time.,約束の時間にあなたに会うという約束を守りました。,,
committee,委員会,The committee voted to approve the new policy.,委員会は新しい方針を承認することを決議しました。,,
commodity,商品,Food is a commodity that people rely on for sustenance.,食べ物は人々が生き延びるために頼る商品です。,,
collaborate,協力する,We are looking to collaborate with our partners on the upcoming project.,私たちは今後のプロジェクトでパートナーと協力したいと考えています。,,
compensate,補償する,The company compensated the employee for the overtime work.,会社は従業員に残業代を支払いました。,,
competent,有能な,I trust that our team consists of competent professionals who can handle the project effectively.,私は、私たちのチームがプロジェクトを効果的に処理できる有能な専門家で構成されていると信じています。,,
compile,編集する,I need to compile all of the data into a comprehensive report.,全てのデータを包括的なレポートにまとめる必要があります。,,
comply,従う,Please comply with the company's dress code during business hours.,業務時間中は会社の服装規定に従ってください。,,
component,構成要素,The computer system consists of several interconnected components.,コンピューターシステムはいくつかの連携したコンポーネントからなっています。,,
comprehensive,包括的な,The report provided a comprehensive analysis of the market trends.,レポートは市場動向の包括的な分析を提供しました。,,
compromise,妥協する,I had to compromise with my colleague to reach a solution we both could agree on.,私は同僚と妥協して、私たち両方が同意できる解決策に辿り着く必要がありました。,,
conceal,隠す,She tried to conceal her surprise at the unexpected news.,彼女は予想外のニュースに驚きを隠そうとしました。,,
concise,簡潔な,The concise summary captured all the essential points.,簡潔な要約はすべての重要な点を捉えていました。,,
concur,同意する,I concur with your proposal to hold the meeting next Monday.,来週の月曜日に会議を開催する提案に同意します。,,
conduct,実施する,The company decided to conduct a thorough investigation into the matter.,会社はその問題について徹底的な調査を行うことを決定しました。,,
conference,会議,The conference will be held tomorrow morning.,明日の朝に会議が開催されます。,,
confirm,確認する,Please confirm your attendance by replying to the email.,メールに返信して出席を確認してください。,,
consecutive,連続した,She hit three consecutive home runs in the game.,彼女は試合で3連続のホームランを打ちました。,,
consensus,合意,We reached a consensus on the best approach to solve the issue.,問題を解決するための最良のアプローチについて合意に達しました。,,
conserve,保護する,We must conserve our natural resources to protect the environment for future generations.,将来の世代のために環境を守るために自然資源を保存しなければなりません。,,
consistent,一貫した,The CEO's message was consistent with the company's values.,CEOのメッセージは会社の価値観と一致していました。,,
consolidate,統合する,The company aims to consolidate its various departments into a more efficient structure.,会社は、さまざまな部門をより効率的な構造に統合することを目指しています。,,
conspicuous,目立つ,The bright red car was conspicuous among all the parked vehicles.,駐車されている全ての車の中で、明るい赤い車は目立っていました。,,
constant,絶え間ない,The constant noise outside the window made it hard to concentrate.,窓の外での絶え間ない騒音のせいで、集中するのが難しかった。,,
constitute,構成する,Different vitamins and minerals constitute a balanced diet.,異なるビタミンとミネラルがバランスの取れた食事を構成しています。,,
consult,相談する,I need to consult with my colleagues before making a decision.,私は、決定をする前に同僚と相談する必要があります。,,
contingent,依存する,The success of the project is contingent on securing additional funding.,プロジェクトの成功は追加の資金を確保することにかかっています。,,
contribute,貢献する,She wanted to contribute to the community by volunteering at the local shelter.,彼女は地元のシェルターでボランティア活動をすることでコミュニティに貢献したかった。,,
controversy,論争,The controversy surrounding the new policy sparked intense debates among lawmakers.,新しい政策を巡る論争は、議員たちの間で激しい議論を引き起こしました。,,
convene,招集する,The board of directors convene monthly to discuss upcoming projects.,取締役会は毎月、来るプロジェクトについて協議します。,,
contract,契約,They signed a contract to outline the terms of their agreement.,彼らは契約を結び、合意条件を明確にした。,,
convey,伝える,I will convey your message to the team during our next meeting.,次回のミーティングで、あなたのメッセージをチームに伝えます。,,
coordinate,調整する,Please coordinate with your team to schedule the meeting.,チームと調整してミーティングの日程を決めてください。,,
conventional,従来の,The team decided to stick to conventional methods for this project to ensure smooth implementation.,チームは、このプロジェクトでスムーズな実施を確実にするために従来の方法に固執することを決定しました。,,
