単語,意味,例文,例文の訳,類義語,メモ
distressing,悲惨な・悩ませる,The news was distressing.,その知らせは地域社会にとって悲惨なものだった。,upsetting,
indicative,示す・指標となる・兆候,High sales are indicative of success.,そのデータはより大きな傾向を示している。,sign,
adversely,逆に・不利に,The change affected workers adversely.,その変化は成績に不利な影響を与えた。,negatively,adversely affect～に悪影響を与える［及ぼす］、～にマイナスとなる
disinhibition,脱抑制・抑制の欠如,Alcohol can cause disinhibition.,脱抑制は危険な行動につながることがある。,loss of control,
distraction,注意散漫,Noise is a major distraction.,騒音は学習中の注意散漫を引き起こす。,inattention,
screen out,不要なものを排除する・選別して除外する,The test screens out weak candidates.,その試験は不適切な候補者を排除するのに役立つ。,filter out,
penetrate,突き抜く・侵入する・貫通する,The bullet could penetrate the wall.,熱は厚い壁を突き抜けることがある。,pierce,
optimum,"最適条件
最適な・最善の",The room temperature is at the optimum.,その方法は最適な結果を達成することを目的としている。,ideal,
undiagnosed,未診断の,Many cases remain undiagnosed.,多くのケースはいまだに未診断のままである。,unidentified,
imperative,"必要不可欠の・高圧的な
必須事項・義務・規則",Clean water is imperative for life.,安全指針に従うことは不可欠である。,essential,
formulate,系統立てて説明する・考案する・策定する・定式化する,The team formulated a clear plan.,チームは明確な戦略を策定した。,develop,
embark,着手する・乗り出す,She embarked on a new career.,その企業は新しい事業に着手することを決めた。,begin,
taken into account,考慮される,Cost must be taken into account.,いくつかの要因が考慮された。,considered,
appropriate,"適切な・妥当な・相応しい
充てる・充当する・私物化する",This is an appropriate response.,資金は適切な用途に充てられた。,suitable,
as to ～,〜に関して,"As to your question, I agree.",結果に関しては、さらなる研究が必要である。,regarding,
curiosity,好奇心,Curiosity drives scientific discovery.,科学研究は好奇心によって推進される。,inquisitiveness,
stumble,つまずく・巡り合う・偶然見いだす,I stumbled over a stone.,彼は予期せぬ問題につまずいた。,trip,
uneven,でこぼこの,The road is uneven.,その道はでこぼこしていて歩きにくかった。,rough,
stumbling upon,偶然〜を見つける,I was stumbling upon new ideas.,彼女は偶然新しい証拠を見つけたと報告した。,finding by chance,
solidify,"固める
固まる",The agreement helped solidify cooperation.,その合意は協力関係を固めるのに役立った。,harden,
prompt,促す・引き起こす,The results prompted further study.,その発見はさらなる研究を促すかもしれない。,cause,
chance,チャンス・機会・偶然,She missed the chance to apply.,その機会は偶然訪れた。,opportunity,
run-down,荒廃した・疲れ果てた・老朽化した,The area looked run-down.,その地域は長年の放置で荒廃していた。,neglected,
late,亡くなった,The late professor was respected.,亡くなった教授は重要な貢献をした。,deceased,
functional,機能的な・機能する・関数の,The system is fully functional.,その装置は機能的で使いやすい。,operational,
devotion,献身・専念・熱愛,Her devotion to teaching is clear.,彼女の科学への献身は多くの学生を鼓舞した。,dedication,
immerse,〜を没頭させる・浸す,He immersed himself in his studies.,彼は研究プロジェクトに没頭した。,absorb,
