単語,意味,例文,例文の訳,類義語,メモ
dawn,夜明け,A third group are known as crepuscular: they thrive in the low-light of dawn and dusk and remain inactive at other hours.,第三のグループは黄昏性として知られており、夜明けや夕暮れの暗い光の中で繁栄し、他の時間には活動しない。,,
dusk,夕暮れ,A third group are known as crepuscular: they thrive in the low-light of dawn and dusk and remain inactive at other hours.,第三のグループは薄明かりと日没の暗がりで栄え、その他の時間は活動を控えるとして知られています。,,
thrive in ~,〜で活発に活動する・繁栄する,A third group are known as crepuscular: they thrive in the low-light of dawn and dusk and remain inactive at other hours.,3番目のグループは薄明/薄暗の生息が好きなクレーパスキュラーとして知られており、他の時間には活動しません。,,
within the passage of ~,〜の経過の中で,This is the complete cycle our bodies are naturally geared to undergo within the passage of a twenty-four hour day.,これは私たちの体が自然に行うように調整された完全な周期であり、24時間の日の間に起こるものです。,,
be geared to,〜するように仕組まれている,This is the complete cycle our bodies are naturally geared to undergo within the passage of a twenty-four hour day.,これは、私たちの体が自然に行うように設計された完全なサイクルであり、24時間の1日の間に経験するべきものです。,,
benign,良性の・穏やかな・無害な,This is a benign variation within circadian rhythms known as a chronotype.,これは、クロノタイプとして知られるサーカディアンリズム内の良性変異です。,,
aside from ~,〜に加えて,"Aside from sleeping at night and waking during the day, each cycle involves many other factors such as changes in blood pressure and body temperature.",夜に眠り、昼に目を覚ますこと以外にも、各周期には血圧や体温の変化など多くの要素が関わっています。,,
durable,耐久性のある・永続的な,Scientists have limited abilities to create durable modifications of chronobiological demands.,科学者は、生体リズム要求の持続的な変更を作成する能力に限界がある。,,
health suffers,健康を損なう・体調を落とす,our bodies can tell the difference and health suffers when we breach these natural rhythms for extended periods of time.,私たちの体はその違いを感じ取ることができ、これらの自然なリズムを長期間乱すと健康に影響が出ます。,,
therapeutic,治療的な,Recent therapeutic developments for humans such as artificial light machines and melatonin administration can reset our circadian rhythms,最近の人間に対する治療法の進歩として、人工光機器やメラトニン投与などが私たちの体内時計をリセットできる可能性があります。,,
modification,変更・改良,Scientists have limited abilities to create durable modifications of chronobiological demands.,科学者は、生体リズムの要求を持続的に変更する能力に限界がある。,,
malleable,柔軟な・従順な,Plants appear no more malleable in this respect;,この点では、植物はもはや柔軟ではなく見える。,,
in this respect,この点において,Plants appear no more malleable in this respect;,この点では、植物はもはや柔軟ではありません。,,
ripen,成熟させる・熟す,vegetables grown in season and ripened on the tree are far higher in essential nutrients,季節に合った栽培され、木で熟している野菜は、必須栄養素がはるかに豊富です,,
pragmatic,実用的な,Knowledge of chronobiological patterns can have many pragmatic implications for our day-to-day lives.,概日パターンの知識は、私たちの日常生活に多くの実用的な意義を持つ可能性があります。,,
subjugate,従属させる・支配下に置く,contemporary living can sometimes appear to subjugate biology,現代の生活は時々生物学を支配しているように見えることがあります。,,
synchronize with,～と同調する,It is important to synchronize with the natural circadian rhythm.,自然なサーカディアンリズムに同期することが重要です。,,
whittle ~ down to,～に絞る・～を…に（まで）減らす,The optimum moment has been whittled down to 7.22 a.m.,最適な瞬間は午前7時22分に削減されました。,,
rouse,目を覚ます・（興味、関心を）かきたてる,The average urban resident rouses at the eye-blearing time of 6.04 a.m.,平均的な都市住民は、朝6時04分に目を覚ます。,,
deleterious,〔身体・精神・環境などに〕有害な,One study found that even rising at 7.00 a.m. has deleterious effects on health unless exercise is performed for 30 minutes afterward.,ある研究では、7時に起きても、その後30分間運動しない限り、健康に有害な影響があることがわかりました。,,
shed some extra pounds,体重を減らす・脂肪を落とす,"If you're trying to shed some extra pounds, dieticians are adamant: never skip breakfast.",もし余分な体重を落とそうとしているなら、栄養士たちは断言する：朝食を抜かないように。,,
awake,目が覚める・起きる・気づく,"muscle aches, headaches and moodiness were reported to be lowest by participants in the study who awoke then.",研究の参加者の中で、筋肉痛、頭痛、イライラ感が最も少ないと報告されたのは、起床後であった。,,
dietitian,栄養士,"If you're trying to shed some extra pounds, dieticians are adamant: never skip breakfast.",もし余分な体重を落としたいなら、栄養士たちは断言します：朝食を決して抜かないようにしてください。,,
adamant,断固として・譲らない・極めて固い,"If you're trying to shed some extra pounds, dieticians are adamant: never skip breakfast.",余分な重さを落とそうとしているなら、栄養士たちは断言します：朝食を絶対に抜かないでください。,,
disorient,混乱させる・方向感覚［分別］を失わせる,This disorients your circadian rhythm and puts your body in starvation mode.,これはあなたの体内時計を混乱させ、体を飢餓状態に置きます。,,
the other way round,逆にすると・反対に,the other way round and weight loss results are not as pronounced.,逆方向で体重減少の結果は目立ちません。,,
results are not as pronounced,結果がはっきりしていない・結果が顕著でない,the other way round and weight loss results are not as pronounced.,逆方向に進めば、体重減少の結果は顕著ではありません。,,
to follow A with B,AをしてからBをする,The recommended course of action is to follow an intense workout with a carbohydrate-rich breakfast,強度の高いワークアウトの後に炭水化物豊富な朝食を摂ることが推奨されています。,,
break out,取り出す・使い始める,Morning is also great for breaking out the vitamins.,朝はビタミンを摂取するのにも最適です。,,
absorption,吸収・統合,Supplement absorption by the body is not temporal-dependent,体によるサプリメントの吸収は時間的に依存しません。,,
soluble,溶けやすい・水溶性の,they are soluble and steering clear of caffeinated beverages.,それらは可溶性でカフェイン入りの飲み物を避ける。,,
energize,エネルギーを与える・活発になる,naturopath Pam Stone notes that the extra boost at breakfast helps us get energised for the day ahead.,自然療法士のパム・ストーンは、朝食でのエキストラブーストは、前に進む日の活力を与えてくれる、と指摘しています。,,
potency,効力・影響力・潜在力,high potency is best for absorption,高い有効性は吸収に最適です。,,
be better off ~ing,〜するほうが良い,we are better off putting the brakes on caffeine consumption as early as 3 p.m.,午後3時までにカフェイン摂取を控える方が良いです。,,
naturopath,自然療法医,naturopath Pam Stone notes that the extra boost at breakfast helps us get energised for the day ahead.,自然療法士のパム・ストーンは、朝食での追加の刺激が、我々が前進する一日にエネルギーを充満させるのに役立つと述べています。,,
put the brakes on,〜を抑える・～を抑制する,we are better off putting the brakes on caffeine consumption as early as 3 p.m.,私たちは、午後3時までにカフェイン摂取を控える方が良いです。,,
wind down,徐々にリラックスする・緊張を解く,Evenings are important for winding down before sleep;,夜は眠る前にリラックスするために重要です。,,
be rid of ~,〜を取り除く・〜を処分する・〜をなくす,"It is essential that, by the time you are ready to sleep, your body is rid of all traces.",寝る準備が整う頃には、体の中からすべての痕跡が消えていることが重要です。,,
deprive A of B,AからBを奪う,This will deprive your body of vital energy needs.,これにより、あなたの体が必要とする重要なエネルギーを奪います。,,
gut,胃腸・消化管,"Overloading your gut could lead to indigestion, though.",過剰に食べ過ぎると消化不良を引き起こす可能性があります。,,
cultural myth,文化的な迷信,dietician Geraldine Georgeou warns that an after-five carbohydrate-fast is more cultural myth than chronobiological demand.,栄養士のジェラルディン・ジョージオが、午後5時以降の炭水化物断食は、時間生物学的要求よりむしろ文化的な神話であると警告しています。,,
indigestion,消化不良,"Overloading your gut could lead to indigestion, though.",大量の食べ過ぎは消化不良を引き起こす可能性があります。,,
digestive tract,消化器官,Our digestive tracts do not shut down for the night entirely,私たちの消化器系は夜に完全に停止しません。,,
