単語,意味,例文,例文の訳,類義語,メモ
amphibious,両生の・両用の,Frogs are amphibious animals.,カエルは両生動物である。,dual-living,
appear,見える・思われる・らしい・現れる,She appears tired today.,彼女は今日疲れているように見える。,seem,
One way to tell,見分ける1つの方法,One way to tell is by checking the size.,見分ける一つの方法は大きさを確認することだ。,one sign is,
overlap,"重なり・重複
重なる・重複する",There is some overlap between the subjects.,その科目の間にはいくらかの重なりがある。,intersection,
date,〜に始まる・〜の時期に由来する,The tradition dates back to ancient times.,その伝統は古代にさかのぼる。,originate from,
tight,密接した,They have a tight relationship.,彼らは密接な関係にある。,close,
Sure enough,予想通りに・案の定・やっぱり,"Sure enough, the bus arrived late.",案の定、バスは遅れて到着した。,as expected,
tortoise,リクガメ,The tortoise moves very slowly.,リクガメはとてもゆっくり動く。,land turtle,
one another,お互いに,The students helped one another.,学生たちは互いに助け合った。,each other,=each other
aquatic,水生の・水中で生活する,Many fish are aquatic animals.,多くの魚は水生動物である。,water-dwelling,
continuously,連続的に・絶え間なく,The machine runs continuously.,その機械は連続的に稼働している。,constantly,
right in the thick,まさに中心に,He was right in the thick of the debate.,彼はまさに議論の中心にいた。,at the center,
nest,"巣を作る

入れ子状の・深く組み込まれた",Birds build a nest in spring.,鳥は春に巣を作る。,build a nest,
