単語,意味,例文,例文の訳,類義語,メモ
be at play,作用している・影響している・働いている,it is clear that a new development is at play.,新しい展開が進行中であることは明らかです。,,
limbic cortex,大脳辺縁系,Scientists have identified this as the limbic cortex.,科学者たちはこれを辺縁皮質として特定しています。,大脳の辺縁系に属する皮質領域のことです。記憶、感情、衝動の制御、情報統合などに関与しており、海馬や扁桃体を含んでいます。,
impels A to ~,Aに〜するよう促す,the limbic cortex impels creatures to nurture their offspring by delivering feelings of tenderness and warmth to the parent when children are nearby.,大脳辺縁野は、子供が近くにいると親にやさしさと温かさを感じさせ、生物が子孫を育てるよう促す。,,
nurture,育てる・助長する,the limbic cortex impels creatures to nurture their offspring by delivering feelings of tenderness and warmth to the parent when children are nearby.,親が子供が近くにいるときに、親に優しさと温かさの気持ちをもたらすことで、辺縁皮質は生物が子供を育てるように推し進めます。,,
offspring,子・子孫,the limbic cortex impels creatures to nurture their offspring by delivering feelings of tenderness and warmth to the parent when children are nearby.,親が子供のそばにいるときに、親への優しさと温かさを感じさせることで、大脳辺縁系は生物が子供を育てるよう促します。,,
tenderness,やさしさ・柔らかさ,the limbic cortex impels creatures to nurture their offspring by delivering feelings of tenderness and warmth to the parent when children are nearby.,健康です。,,
kinship,親族関係・血縁関係,These same sensations also cause mammals to develop various types of social relations and kinship networks.,これらの同じ感覚は、哺乳類がさまざまな種類の社会関係や親族ネットワークを発展させる原因ともなります。,,
of,〜に属する・〜の中の,"When we are with others of ""our kind”",私たちと同じような人々と一緒にいるとき,,
at,〜において・〜の場で,"be it at soccer practice, church, school or a nightclub",サッカーの練習場、教会、学校、ナイトクラブであれば。,この部分は倒置構文で、「whether it be A or B」（たとえAであってもBであっても）の省略・変形です。,
solidarity,連帯（感）・団結・結束,"we experience positive sensations of togetherness, solidarity and comfort.",私たちは、一緒にいること、団結、安心感などのポジティブな感覚を経験します。,,
togetherness,一体感,"we experience positive sensations of togetherness, solidarity and comfort.",私たちは一体感、連帯感、そして安心感のポジティブな感覚を経験します。,,
set in,入り込む・〔季節・悪天候・病気・流行・好ましくないことが〕始まる・組み込む,loneliness sets in and encourages us to seek companionship.,孤独感が訪れ、私たちに仲間を求めるよう促します。,,
companionship,交友関係,loneliness sets in and encourages us to seek companionship.,孤独感が芽生え、私たちに仲間を求めるよう促します。,,
capability,能力・機能・可能性,Only human capabilities extend far beyond the scope of these two cortexes.,ただ人間の能力はこれら2つの皮質の範囲をはるかに超えています。,,
far beyond ~,〜をはるかに超える,Only human capabilities extend far beyond the scope of these two cortexes.,人間の能力は、これら2つの大脳の範囲を遥かに超えています。,,
rationalize,正当化する・合理化する,"Humans eat, sleep and play, but we also speak, plot, rationalise and debate finer points of morality.",人間は食べ、眠り、遊ぶが、我々はまた話し、たくらみ、合理化し、道徳の細かい点を議論します。,,
morality,道徳規範・倫理観,"Humans eat, sleep and play, but we also speak, plot, rationalise and debate finer points of morality.",人間は食べたり、眠ったり、遊んだりしますが、話したり、企んだり、合理的に考えたり、道徳の細部について議論することもあります。,,
plot,"(ひそかに,周到に（時には悪意を持って）)計画する","Humans eat, sleep and play, but we also speak, plot, rationalise and debate finer points of morality.",人間は食べたり寝たり遊んだりしますが、我々は話したりたくらんだり合理化したりして、道徳の微妙な点について議論します。,,
expansive,広大な・包括的な・拡張する,Our unique abilities are the result of an expansive third brain,私たちのユニークな能力は広範な第三の脳の結果です。,,
engage with ~,～と関わり合う・～に関与する,"the neocortex – which engages with logic, reason and ideas.",新皮質 - 論理、理性、アイデアと関わる部分。,,
impulsive,衝動的な,other mammals are mainly restricted to impulsive actions,他の哺乳類は主に衝動的な行動に制限されています。,,
finer point,微妙な点,"Humans eat, sleep and play, but we also speak, plot, rationalise and debate finer points of morality.",人間は食べたり、寝たり、遊んだりするだけでなく、私たちは話したり、陰謀をめぐらしたり、合理化したり、道徳の微妙な点について討論したりする。,,
string together A,Aをつなぎ合わせる（知識・事実・出来事など）,We can string together simple lessons,単純なレッスンをつなげることができます。,,
phenomena,（phenomenonの複数形、単数形として使われる）現象,social phenomena,社会現象,,
unknown to ~,〜には見られない・〜には知られていない,these choices can accumulate into feats of progress unknown to other animals.,これらの選択肢は、他の動物には知られていない進歩の偉業に蓄積される可能性があります。,,
accumulate into ~,積み重なって最終的に〜になる,these choices can accumulate into feats of progress unknown to other animals.,これらの選択肢は、他の動物には未知の進歩の偉業に蓄積される可能性があります。,,
translate into ~,〜につながる・（形が）～に変わる・（結果として）～になる,this ongoing sacrifice translates into a first class degree and a scholarship to graduate school,この継続的な犠牲が、一流の学位と大学院の奨学金に繋がる。,,
groundbreaking,画期的な・革新的な,it can mean ground-breaking contributions to human knowledge and development.,それは、人類の知識と発展に画期的な貢献を意味することがあります。,,
appreciate,十分［よく］理解する・正しく［正当に］評価［理解・認識］する,Understanding the triune brain can help us appreciate the different natures of brain damage and psychological disorders.,三位一体の脳を理解することで、脳の損傷と心理障害の異なる性質を認識するのに役立ちます。,,
drive,本能的な欲求・衝動・意欲,The ability to sacrifice our drive for immediate satisfaction in order to benefit later is a product of the neocortex.,直訳ではなく自然な日本語に翻訳すると：即座の満足のために自己を犠牲にし、後で利益を受ける能力は、新皮質の産物です。,,
illusory,錯覚の・非現実的な・架空の,this is illusory,これは幻影です。,,
nature of ~,〜の性質・〜の本質・〜のあり方,Understanding the triune brain can help us appreciate the different natures of brain damage and psychological disorders.,三位一体の脳を理解することは、脳の損傷と心理障害の異なる性質を理解するのに役立ちます。,,
form of,〜の一形態・〜の一種・〜の一形式,"The most devastating form of brain damage, for example, is a condition in which someone is understood to be brain dead.",たとえば、最も壊滅的な脳損傷の形態は、誰かが脳死であると理解されている状態です。,,
in a different manner,異なる［別の・違う］方法［やり方］で,Disturbances to the limbic cortex are registered in a different manner.,辛い種類には、皮質への障害が異なる方法で記録される。,,
pup,子犬,Pups with limbic damage can move around and feed themselves well enough but do not register the presence of their littermates.,大脳辺縁系に損傷を受けた子犬は、移動して自分で食べることは十分にできますが、兄弟の存在を認識しません。,,
littermate,〔動物の〕同腹の子,Pups with limbic damage can move around and feed themselves well enough but do not register the presence of their littermates.,影響を受けた子犬は適切に動き回り、自分で食事をすることができますが、仲間の存在を認識しません。,,
lobotomy,《外科》ロボトミー、前頭葉切断術,"Scientists have observed how, after a limbic lobotomy, ""one impaired monkey stepped on his outraged peers as if treading on a log or a rock"".",科学者たちが観察したところ、辺縁切除術後のある障害を負った猿が、まるで丸太や石を踏むかのように、怒った仲間を踏みつけたという。,,
impaired,障害のある・正常に機能しない,"Scientists have observed how, after a limbic lobotomy, ""one impaired monkey stepped on his outraged peers as if treading on a log or a rock"".",科学者は、辺縁前頭葉切除手術後に、障害を受けた一匹の猿が、まるで丸太や岩を踏んでいるかのように他の怒った仲間を踏みつけるのを観察しました。,,
step on,～を踏む・～を踏みつける,"Scientists have observed how, after a limbic lobotomy, ""one impaired monkey stepped on his outraged peers as if treading on a log or a rock"".",科学者たちは、辞世戯を受けて以降、一匹の障害を持つ猿が、まるで丸太や岩を踏んでいるかのように怒った仲間に踏みつけられたのを観察してきました。,,
outraged,怒った・激怒した,"Scientists have observed how, after a limbic lobotomy, ""one impaired monkey stepped on his outraged peers as if treading on a log or a rock"".",科学者は、偽前頭葉切除手術の後、1匹の障害を受けたサルが、まるで丸太や岩の上を踏むかのように怒っている仲間に踏みつけたと観察しています。,,
sociopathic,反社会的な・社会的な感情の欠如,"In our own species, limbic damage is closely related to sociopathic behaviour.",我々の種において、辺縁系の損傷は反社会的行動に密接に関連しています。,,
tread on,～を踏みつける・～を害する・～を傷つける,"Scientists have observed how, after a limbic lobotomy, ""one impaired monkey stepped on his outraged peers as if treading on a log or a rock"".",科学者は、大脳辺縁葉切除術を受けた後、1匹の損傷を受けたサルが、まるで丸太や岩を踏むかのように怒っている仲間たちを踏みつけたと観察しています。,,
in possession of ~,～を持っている・所有している,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",機能が完全に備わった新皮質を持つ病的社会者は、しばしば抜け目のない感情的に賢い人々ですが、他者に共感したり関心を示したりする能力がないです。,,
sociopath,社会病質者・反社会的人間,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",持続的に機能する新皮質を持つサイコパスはしばしば抜け目なく感情的に知性が高い人々であるが、他者と関連付ける、共感する、他者に関心を示す能力が欠けている場合があります。,,
fully functioning,正常に機能する・十分機能する,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",完全に機能している新皮質を持つサイコパスはしばしば抜け目のない感情的に賢い人ですが、他人と関わったり、共感したり、他者に対して心配を表現する能力が欠けています。,,
shrewd,頭の切れる・鋭い・賢明な,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",完全に機能している新皮質を持つサイコパスは、しばしば抜け目のない感情的に賢明な人々であるが、他者との関係を築く能力、共感する能力、他者に対する関心を表現する能力が全くない。,,
relate to,～に共感する［親しみを感じる］,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",正常に機能する新皮質を持つ社会病質者は、しばしば抜け目がなく感情的に知のある人々ですが、他者と共感したり、共感したり、他者に関心を示す能力を持ち合わせていません。,,
empathize with,～に共感する・～に感情移入する,"Sociopaths in possession of fully-functioning neocortexes are often shrewd and emotionally intelligent people but lack any ability to relate to, empathise with or express concern for others.",完全に機能している新皮質を持つサイコパスはしばしば抜け目のない感情的に賢い人々ですが、他人と関わる能力、共感する能力、他者への思いやりを表現する能力が全くない。,,
wonder,驚き・感嘆,One of the neurological wonders of history occurred,歴史上の神経学的な驚異の一つが起こりました。,,
skewer,串にさす・攻撃する・批判する,He survived an incident during which a metal rod skewered his skull,彼は、金属のロッドが彼の頭蓋骨に刺さった事件を生き延びました。,,
skull,頭蓋骨,He survived an incident during which a metal rod skewered his skull,彼はメタルロッドが彼の頭蓋骨を貫通した事件を生き延びました。,,
pronounced,目立った・顕著な・明白な,Gage's animal propensities were now sharply pronounced while his intellectual abilities suffered;,ゲイジの動物的傾向は今鮮明になり、知的能力は損なわれました。,,
propensity,性癖・性向・傾向,Gage's animal propensities were now sharply pronounced while his intellectual abilities suffered;,ゲージの動物的傾向は明確に現れていましたが、知的能力は損なわれていました。,,
garrulous,〔あまりに〕おしゃべりな・冗長な,garrulous or obscene jokes replaced his once quick wit.,饒舌か卑猥な冗談が、かつての機敏な機知を取って代わった。,,
suffer,〔生活・サービス・物などの質が〕損なわれる,Gage's animal propensities were now sharply pronounced while his intellectual abilities suffered;,ゲージの動物的な傾向は著しくなり、一方で彼の知的な能力は損なわれました。,,
obscene,下品な・不愉快な・節度を欠いた,garrulous or obscene jokes replaced his once quick wit.,彼の饒舌でわいせつな冗談がかつての機知を取り替えた。,,
quick wit,機転が利く・頭の回転が早い,garrulous or obscene jokes replaced his once quick wit.,彼のかつての機知に代わり、おしゃべりで下品なジョークが置き換わった。,,
abrupt,突然の,Gage managed to soften these abrupt changes over time and rediscover an appropriate social manner.,ゲージは時間をかけてこれらの急激な変化を和らげ、適切な社交マナーを再発見することに成功しました。,,
over time,時間の経過とともに,Gage managed to soften these abrupt changes over time and rediscover an appropriate social manner.,ゲージは時間とともにこれらの急激な変化を和らげ、適切な社会的態度を再発見することに成功しました。,,
an improved quality of life,生活の質を向上させる,reparative therapy has the potential to help patients with advanced brain trauma to gain an improved quality of life.,修復療法は、進行性脳損傷を持つ患者が生活の質を向上させるのに役立つ可能性があります。,,
reparative,修理［修復・矯正］の,reparative therapy has the potential to help patients with advanced brain trauma to gain an improved quality of life.,修復療法には、高度な脳損傷を持つ患者がより良い生活の質を得るのに役立つ可能性があります,,
dire,悲惨な・緊急の,In recent years we have all been exposed to dire media reports concerning the impending demise of global coal and oil reserves,最近の数年間、私たちは全員、世界の石炭と石油の埋蔵量の迫り来る終焉に関する深刻なメディア報道にさらされてきました。,,
concerning,〜に関して,In recent years we have all been exposed to dire media reports concerning the impending demise of global coal and oil reserves,ここ数年、私たちは皆、世界の石炭や石油の埋蔵量が尽きつつあるという深刻なメディア報道にさらされてきました,,
impending,差し迫った・切迫している・近い将来の,In recent years we have all been exposed to dire media reports concerning the impending demise of global coal and oil reserves,最近、私たちは皆、世界の石炭や石油の予備の不可避な終焉に関する深刻なメディア報道にさらされてきました。,,
reserve,〔石油の〕埋蔵量・蓄え・保存,In recent years we have all been exposed to dire media reports concerning the impending demise of global coal and oil reserves,近年、私たちは皆、世界の石炭や石油の埋蔵量の減少に関する深刻なメディア報道にさらされてきました。,,
demise,終焉・死,In recent years we have all been exposed to dire media reports concerning the impending demise of global coal and oil reserves,最近、私たちは皆、世界の石炭や石油の予備の危機に関する厳しいメディア報道にさらされてきました,,
get/receive press,報道される,the depletion of another key non-renewable resource continues without receiving much press at all.,別の主要な不再生可能資源の枯渇が、全く注目を集めずに続いています。,,
the depletion of ~,〜の枯渇、減少,the depletion of another key non-renewable resource continues without receiving much press at all.,別の主要な不再生可能資源の枯渇が、全く注目されていないまま続いています。,,
inert,不活性の・不活発な・のろい,"Helium – an inert, odourless, monatomic element known to lay people as the substance that makes balloons float and voices squeak when inhaled",ヘリウムは、無害で無臭の一原子元素であり、一般にはバルーンを浮かべる物質や吸引した際に声が甲高くなると知られています。,,
monatomic,単原子の,"Helium – an inert, odourless, monatomic element known to lay people as the substance that makes balloons float and voices squeak when inhaled",ヘリウムは、浮く気球を作り、声をキュートにさせる物質として一般の人々に知られている不活性で無臭の一原子元素です。,,
known to lay people as ~,一般人には〜として知られている,"Helium – an inert, odourless, monatomic element known to lay people as the substance that makes balloons float and voices squeak when inhaled",ヘリウムは、風船を浮かび上がらせ、声を高くさせる物質として一般の人々によって知られる、不活性で無臭の一原子元素です。,,
inhale,吸い込む・吸入する,"Helium – an inert, odourless, monatomic element known to lay people as the substance that makes balloons float and voices squeak when inhaled",ヘリウムは、気球を浮かせる物質であり、吸入すると声がキーキーすることで一般の人々に知られている、不活性で無臭の一原子元素です。,,
squeak,（人な動物の）高い声・キーキーした音,"Helium – an inert, odourless, monatomic element known to lay people as the substance that makes balloons float and voices squeak when inhaled",ヘリウムは、気体で無味無臭の単原子元素で、大衆にはバルーンを浮かせる物質や吸入すると声がキーキーなるものとして知られています。,,
cosmos,宇宙・秩序,there is actually a plentiful supply of it in the cosmos.,実際には、宇宙には豊富な供給があります。,,
elemental mass,元素質量・基本の質量,24 per cent of our galaxy's elemental mass consists of helium,私たちの銀河の元素質量の24パーセントはヘリウムから成っています。,,
