두껍다,厚い,그 책은 표지가 두꺼워요.,その本は表紙が厚いです。,,
둘,二つ,그 그림은 둘의 크기가 다릅니다.,その絵は2つのサイズが異なります。,,
둘째,第二,둘째로 나타난 책은 오래된 전설을 담고 있다.,2番目に登場した本は古い伝説を含んでいます。,,
뒤,後ろ,그 사람은 뒤에 서 있어요.,その人は後ろに立っています。,,
뒤늦다,遅すぎる,그 무성한 사랑 과제를 마감한 것이 뒤늦었다.,その豊かな愛の宿題を締め切ったのは遅かった。,,
드리다,差し上げる,차가운 물을 당신께 드리겠습니다.,冷たい水をお持ちします。,,
두다,置く,책을 책상 위에 두세요.,机の上に本を置いてください。,,
득점,得点,그 선수는 매 경기에서 중요한 득점을 기록했습니다.,その選手は毎試合重要な得点を記録しました。,,
등,背中,그는 등을 아프게 했다.,彼は背中を痛めさせた。,,
등산,登山,주말에 등산을 가는 거 좋아해요.,週末にハイキングに行くのが好きです。,,
디자인,デザイン,디자인은 제품이나 서비스의 외관과 기능을 개선하는 중요한 역할을 합니다.,デザインは製品やサービスの外観と機能を改善する重要な役割を果たしています。,,
따다,取る,그는 꽃을 따고 있어요.,彼は花を摘んでいます。,,
따뜻하다,暖かい,방이 따뜻해서 편안하게 잘 수 있어요.,部屋が暖かくて快適に眠ることができます。,,
딸,娘,딸이 학교에 갔어요.,娘が学校に行きました。,,
땅,地面,땅 위에 산책하면 스트레스가 풀려요.,地上を散歩するとストレスが解消されます。,,
때,時,"날씨가 추워질 때, 옷을 따듯하게 입으세요.",天気が寒くなる時、暖かい服を着てください。,,
때리다,叩く,그 아이를 때리지 말아주세요.,その子供を叩かないでください。,,
떠나다,出発する,저희는 내일 일찍 떠날 거예요.,私たちは明日早く出発します。,,
떡,餅,떡은 한국 전통 음식 중 하나로 인기가 많습니다.,떡は韓国の伝統食品の1つで人気があります。,,
떨어지다,落ちる,잎들이 가을에 떨어지면 나무가 새로운 잎을 낸다.,葉が秋に落ちると木が新しい葉を出す。,,
떼다,剥がす,그는 포스터를 벽에서 뗐다.,彼はポスターを壁から取り外した。,,
또,また,저는 또 내일 일찍 일어날 거예요.,私は明日も早起きするつもりです。,,
뚜껑,蓋,뚜껑은 포크레인에 의해 들어올리는 것이 좋다.,上蓋はフォークリフトによって持ち上げるのがよい。,,
뜨겁다,熱い,이 음식이 뜨겁습니다.,この料理は熱いです。,,
또한,また,"저는 토요일에 친구들과 영화를 보러 갔고, 또한 맛있는 저녁 식사도 즐겁게 했습니다.",私は土曜日に友達と映画を観に行き、また美味しい夕食も楽しくしました。,,
라면,ラーメン,라면은 일본 국수 음식입니다.,ラーメンは日本の麺料理です。,,
뜻,意味,그 문장의 뜻을 이해했습니다.,その文章の意味を理解しました。,,
마당,庭,저희 집에는 예쁜 꽃들이 가득한 마당이 있어요.,私たちの家には美しい花がいっぱいの庭があります。,,
마시다,飲む,그는 매일 물을 마셔.,彼は毎日水を飲みます。,,
마을,村,마을에는 아름다운 풍경이 많이 있다.,村には美しい風景がたくさんあります。,,
마음,心,마음은 언제나 소중한 것이다.,心はいつも貴重なものです。,,
마주치다,出会う,그녀를 마주치면 어색한 느낌이 들었다.,彼女に出会うと、不自然な感じがした。,,
마지막,最後,마지막 회의는 내일 오후에 있을 예정입니다.,最後の会議は明日の午後に予定されています。,,
막히다,詰まる,도로 공사로 인해 교통이 막혀 있습니다.,道路工事のため、交通が渋滞しています。,,
만나다,会う,그는 내일 친구를 만날 예정이다.,彼は明日友達に会う予定です。,,
만들다,作る,그림을 만들기 좋아해요.,絵を描くのが好きです。,,
만약,もし,만약 내일 비가 오면 우산을 가져가세요.,もし明日雨が降ったら傘を持って行ってください。,,
많다,多い,선물이 많아요.,プレゼントがたくさんあります。,,
말,言葉,말은 소통하는 데 아주 중요합니다.,言葉はコミュニケーションに非常に重要です。,,
말하다,話す,그는 많이 말했다.,彼はたくさん話しました。,,
맛,味,그 음식은 정말 맛이 좋아요.,その食べ物は本当においしいです。,,
맛있다,美味しい,그 식당의 음식은 정말 맛있어요.,そのレストランの料理は本当に美味しいです。,,
매다,結ぶ,그는 신발끈을 매었다.,彼は靴ひもを結びました。,,
매일,毎日,매일 일찍 일어나서 운동합니다.,毎日早く起きて運動します。,,
매점,売店,매점은 학교나 회사 내에서 음식과 음료를 파는 곳입니다.,売店は学校や会社内で食べ物や飲み物を売る場所です。,,
맵다,辛い,그 음식은 정말 매웠어요.,その料理は本当に辛かったです。,,
머리,頭,머리가 아프다.,頭が痛いです。,,
먹다,食べる,저는 매일 밥을 먹어요.,私は毎日ご飯を食べます。,,
먼저,先に,먼저 일어나서 아침식사를 하세요.,最初に起きて朝食をとってください。,,
멀다,遠い,그 공원은 내 집에서 멀어요.,その公園は私の家から遠いです。,,
멋,格好,그 여자는 정말 멋있어요.,その女性は本当に素敵です。,,
멋있다,かっこいい,그 옷은 정말 멋있어.,その服は本当にかっこいいです。,,
메뉴,メニュー,메뉴를 봐서 주문해주세요.,メニューを見て注文してください。,,
메다,担ぐ,그는 짐을 메고 산을 등반이었다.,彼は荷物を持って山を登りました。,,
멘토,メンター,멘토는 지식과 경험을 나누는 중요한 역할을 합니다.,メンターは知識と経験を共有する重要な役割を果たします。,,
며칠,何日,며칠 동안 일본에 있을 건가요?,何日間日本に滞在するつもりですか？,,
면,麺,라면을 좋아해요.,ラーメンが好きです。,,
명,名,훌륭한 명함을 만들었어요.,素敵な名刺を作りました。,,
명절,祝日,명절은 한국의 전통적인 특별한 날입니다.,명절は韓国の伝統的な特別な日です。,,
명함,名刺,명함은 비즈니스 활동에서 중요한 역할을 합니다.,名刺はビジネス活動で重要な役割を果たします。,,
모르다,知らない,나는 그 일에 대해 아무것도 모릅니다.,私はその仕事について何も知りません。,,
모양,形,그 모양이 너무 귀엽네요.,その形がとてもかわいいです。,,
기계,機械,그 동네에 있는 수리 기계는 정말 뛰어났어요.,その町にある修理機は本当に優れていました。,,
기념,記念日,그들은 결혼 기념일을 축하했다.,彼らは結婚記念日を祝いました。,,
