単語,意味,例文,例文の訳,類義語,メモ
gifted,優れたさ才能のある,He is a gifted musician.,彼は才能のある音楽家だ。,talented,
mythology,神話,Greek mythology influenced Western culture.,ギリシャ神話は西洋文化に影響を与えた。,myths,
giftedness,才能,Giftedness can appear at an early age.,才能は幼い頃から現れることがある。,talent,
eccentric,"風変わりな・変な・奇妙な
風変わりな人・変人・変わり者",He was known for his eccentric behavior.,彼は風変わりな行動で知られていた。,odd,イクセントゥリク
populary,一般的に,It is popularly believed that exercise is healthy.,運動は健康に良いと一般的に信じられている。,commonly,
weakling,体の弱い人・意志の弱い人,He was treated as a weakling.,彼は体の弱い人として扱われた。,frail person,
run in the family,〔家系に〕遺伝する,Artistic talent often runs in the family.,芸術的才能は家系に受け継がれることが多い。,be hereditary,
madness,狂気・非常に愚かな行為・狂気の沙汰,The plan bordered on madness.,その計画は狂気の沙汰に近かった。,insanity,
highbrow,インテリぶる人,He was seen as a highbrow.,彼はインテリぶっていると思われていた。,elitist,
adversity,逆境・不運・困難な出来事,They faced adversity with courage.,彼らは勇気をもって逆境に立ち向かった。,hardship,
enrich,豊かにする・裕福にする・〔～の質や価値などを〕高める、強化する,Education can enrich people’s lives.,教育は人々の人生を豊かにする。,enhance,
egghead,学者肌の人,He was labeled an egghead.,彼は学者肌の人だと呼ばれた。,intellectual type,
blue-stocking,インテリ女性,She was called a blue-stocking.,彼女はインテリ女性と呼ばれた。,learned woman,
know-all,なんでも知っている人,No one likes a know-all.,誰も知ったかぶりの人は好きではない。,smarty-pants,
wiseacre,知ったかぶりの人,He sounded like a wiseacre.,彼は知ったかぶりのように聞こえた。,smart-aleck,
boffin,研究者,The boffin presented new data.,その研究者は新しいデータを発表した。,scientist,
denigration,中傷・軽蔑,The article was full of denigration.,その記事は中傷に満ちていた。,disparagement,
intellectual,"知性の・聡明な・知力が必要な
知識人・有識者",The debate attracted many intellectuals.,その討論には多くの知識人が集まった。,scholarly,
not a few ～,「少なくない（＝かなり多くの）,Not a few students failed the test.,少なからぬ学生が試験に失敗した。,many,
the nature of,～の性質・～の本質,We discussed the nature of the problem.,私たちはその問題の本質について議論した。,essence of,
have a beneficial effect on ,～に有益な効果がある、～に優れた効果を有する,Exercise can have a beneficial effect on health.,運動は健康に有益な効果をもたらす。,positively affect,
difficulty,難しさ・困難,The main difficulty was time.,主な困難は時間だった。,challenge,
artistic ,芸術的な,The building has artistic value.,その建物には芸術的価値がある。,creative,
go + 形容詞/過去分詞,「～の状態のままである」 という表現。,The machine went unused.,その機械は使われないままだった。,remain,
anecdote,逸話・秘話,He shared an anecdote from his youth.,彼は若い頃の逸話を語った。,story,
as + S + V (倒置構文),"譲歩構文 → 「～ではあるが」

","As tired as he was, he continued working.",疲れてはいたが、彼は仕事を続けた。,though,"""as"" を使った譲歩構文 は、倒置の形になっているのが特徴です。

"
norm,〔社会における行動の〕規範、基準,Respect for others is a social norm.,他人を尊重することは社会の規範だ。,standard,
in ～ing,「～する点で」「～において」,She is skilled in solving problems.,彼女は問題解決の点で優れている。,with respect to,
collate,～をページ順に並べる・照合する・集める（比較・整理・分析する）・まとめる,The assistant helped collate the documents.,助手は書類を整理してまとめるのを手伝った。,compile,
take into account,考慮に入れる,We must take costs into account.,私たちは費用を考慮に入れなければならない。,consider,
upbringing,〔幼少期の〕しつけ（方）、養育（法）,Her upbringing shaped her values.,彼女のしつけは彼女の価値観を形作った。,childhood,
pediatrics,小児医学・小児科学,He specializes in pediatrics.,彼は小児医学を専門としている。,child medicine,ピディアトリクス
It is/was + 強調したい部分 + that …,,It was the teacher that inspired him.,彼を鼓舞したのはその教師だった。,cleft sentence,特定の要素（時間・場所・手段・人物など）を強調するだけで、因果関係は強調しない。
