単語,意味,例文,例文の訳,類義語,メモ
down-to-earth,現実的な・実際的な,She has a down-to-earth attitude despite her success.,彼女は成功しても現実的な態度を持っている。,practical,
set out,始める・着手する,They set out to solve the environmental problem.,彼らは環境問題の解決に着手した。,begin,
binary unit,二進単位,The computer stores data in binary units.,コンピュータはデータを二進単位で保存する。,bit,
set about,〜に取り掛かる,She set about cleaning the entire house.,彼女は家全体の掃除に取り掛かった。,start,
pin down,明確にする・定義する,It was hard to pin down the exact cause of the error.,エラーの正確な原因を特定するのは難しかった。,identify,
intact,無傷の,The ancient vase remained intact despite the earthquake.,古代の花瓶は地震にもかかわらず無傷だった。,unharmed,
generalize,"一般化する・普及させる
概括する",It is risky to generalize from a single example.,単一の例から一般化するのはリスクがある。,summarize,
interfere,干渉する・邪魔する,Noise can interfere with concentration in the library.,騒音は図書館での集中を妨げることがある。,disturb,
precision,正確さ・精密さ,The surgeon performed the operation with great precision.,外科医は非常に正確に手術を行った。,accuracy,
theorem,原理・定理,The theorem was proved by a famous mathematician.,その定理は有名な数学者によって証明された。,law,
ravege,"荒廃させる・ひどく破壊する
破壊・損害",The hurricane ravaged the coastal town.,ハリケーンは沿岸の町を荒廃させた。,destroy,
feat,"偉業・手柄・功績
巧みな・器用な",Climbing Mount Everest is a remarkable feat.,エベレスト登頂は素晴らしい偉業だ。,achievement,
stunningly,驚くほど・非常に見事に,The painting was stunningly beautiful.,その絵は驚くほど美しかった。,remarkably,
divise,"考案する・工夫する・発明する
遺贈",He devised a new method to test water quality.,彼は水質をテストする新しい方法を考案した。,create,
stunning,驚くべき・見事な,The sunset over the ocean was stunning.,海に沈む夕日は見事だった。,beautiful,
crumpled,しわくちゃの・くしゃくしゃになった,She unfolded the crumpled paper carefully.,彼女はくしゃくしゃの紙を慎重に広げた。,wrinkled,
"even on, say, ~ ",例えば～のような場合でも,"Even on, say, a rainy day, the children played outside.",例えば雨の日でも、子供たちは外で遊んだ。,even in,
redundant,冗長な・余剰の・必要以上の,Many old documents are redundant and unnecessary.,多くの古い文書は冗長で不必要だ。,unnecessary,
sperfluous,余分な・不必要な・無駄な,She removed superfluous information from the report.,彼女は報告書から余分な情報を取り除いた。,extra,
lay,置く・おろす・横たわる,They lay the books on the table.,彼らは本をテーブルの上に置いた。,place,
ambiguous,曖昧な・不明確な,The instructions were ambiguous and unclear.,その指示は曖昧で不明確だった。,uncertain,
compression,圧縮・縮小,The software uses compression to reduce file size.,ソフトウェアはファイルサイズを縮小するために圧縮を使用する。,condensation,
cram,"詰め込む
お腹いっぱいに食べる
満員・詰め込みの勉強",Students cram before exams to remember everything.,学生は試験前に詰め込み勉強をする。,study intensively,
laid the foundations of,～の基礎を築く,Newton laid the foundations of classical physics.,ニュートンは古典物理学の基礎を築いた。,established,
leave out,省略する,Please leave out unnecessary details in your essay.,エッセイでは不要な詳細を省略してください。,omit,
astronomical,天文学的な・莫大な・非常に大きな,The telescope captured astronomical distances in space.,望遠鏡は宇宙の天文学的距離を捉えた。,enormous,
As with ,～の場合と同様に・〜と同じように,"As with previous studies, the results were consistent.",以前の研究と同様に、結果は一貫していた。,similarly,
inch,"少しずつ動かす
少しずつ動く",He inched forward slowly to avoid being seen.,彼は見られないように少しずつ前進した。,move slowly,
outperformed,より優れた結果を出す・期待を上回る,The new student outperformed all his classmates.,新入生はすべてのクラスメートより優れた成績を出した。,excelled,
treat,"扱う・受け止める
取り扱う・処理する",The library treats all books with care.,図書館はすべての本を丁寧に扱う。,handle,
allege,断言する・主張する・申し立てる,They allege that the company broke the law.,彼らは会社が法律を破ったと主張している。,claim,
innermost,最も内側の・心の奥底の,She shared her innermost thoughts with her diary.,彼女は心の奥底の思いを日記に書いた。,deepest,
latitude,緯度・自由・余裕,The city enjoys some latitude in creating its own policies.,その都市は独自の政策を作る自由を持っている。,freedom,
desolate,"荒涼とした・人が住んでいない
荒廃させる・無人にする",The desert appeared desolate and empty.,砂漠は荒涼として人が住んでいなかった。,empty,
you can put it all down to ～,すべての原因は～にあると考えられる,You can put it all down to hard work and dedication.,すべての原因は努力と献身にあると考えられる。,attribute to,
parallax,視差・視点の違い,The astronomer measured parallax to estimate distance.,天文学者は距離を推定するために視差を測定した。,perspective,
fundamental,"基本的な・根本的な・重要な・不可欠な
基本・原理",Understanding grammar is fundamental to learning a language.,文法の理解は言語学習の基本だ。,essential,
govern,統治する・管理する,The king governed the country wisely.,王は賢明に国を統治した。,rule,
polymath,博学者・博識家,Leonardo da Vinci was a polymath with many talents.,レオナルド・ダ・ヴィンチは多才な博学者だった。,scholar,
thwart,阻止された・挫折させられた・進行が妨げられた,The rain thwarted their plans for the picnic.,雨のせいでピクニックの計画は挫折した。,prevent,
orbital,"軌道の・眼窩の
軌道",The satellite followed a precise orbital path.,衛星は正確な軌道をたどった。,path,
besiege,包囲攻撃いている・質問や要求などで圧倒してみる,The army besieged the city for weeks.,軍は数週間その都市を包囲した。,surround,
warship,軍艦,The warship sailed through the bay.,軍艦は湾を航行した。,naval ship,
undaunted,恐れない・ひるまない,She remained undaunted despite the challenges.,彼女は困難にもひるまなかった。,fearless,
equator,赤道,The equator divides the Earth into northern and southern halves.,赤道は地球を北半球と南半球に分ける。,equatorial line,
dispiriting,気をくじく・落胆させる,The long wait was dispiriting for the volunteers.,長い待ち時間はボランティアを落胆させた。,disheartening,
ironically,皮肉にも・逆説的に,"Ironically, he won the game after losing the first set.",皮肉にも、彼は第1セットに負けた後で試合に勝った。,paradoxically,
set out on,〜へ出発する,They set out on a journey to the mountains.,彼らは山へ向けて旅に出発した。,embark on,
dog,付きまとう・悩ませる,A problem dogged the researchers for months.,問題が何か月も彼らを悩ませた。,bother,
ruled out,〜を排除する・不可能にする,The experiment ruled out several possible causes.,実験でいくつかの可能性が排除された。,exclude,
circular,"円形の・丸い
回覧状",The table had a circular shape.,テーブルは円形だった。,round,
difraction,回折,The light passed through diffraction to create patterns.,光は回折を通してパターンを作った。,diffraction,
halo,"光の輪
〔光背や光の輪で～を〕囲む",A halo surrounded the moon on a cold night.,寒い夜、月を光の輪が囲んでいた。,circle of light,
smear,"汚す・塗りつける・中傷する
汚れる
油性のもの・汚れ・中傷",He used paint to smear the wall.,彼は壁にペンキを塗った。,smudge,
dogged,粘り強い・不屈の,His dogged efforts finally paid off.,彼の粘り強い努力はついに実を結んだ。,persistent,
laboured,苦労している・ぎこちない,The worker laboured all day in the field.,労働者は一日中畑で働いた。,strenuous,
expedition,探検・遠征・迅速さ,The expedition explored the Amazon rainforest.,探検隊はアマゾンの熱帯雨林を探検した。,journey,
labour,"働く・努力する・苦労する
徹底的に処理する・悩ませる",They laboured to finish the project on time.,彼らはプロジェクトを期限内に仕上げるために苦労した。,work,
supersede,取って代わった・廃止された,The new system will supersede the old one.,新しいシステムは古いシステムに取って代わる。,replace,
cosmic,宇宙の・広大な,Cosmic dust filled the telescope's view.,宇宙の塵が望遠鏡の視界を満たした。,universe,
rod,棒・竿,He used a rod to measure the depth of the well.,彼は井戸の深さを測るために棒を使った。,stick,
scale,規模・尺度・基準,The scale of the problem was larger than expected.,問題の規模は予想より大きかった。,size,
determine,決心する・見つけ出す・算出する,The experiment aimed to determine the effect of sunlight.,実験は日光の影響を見つけることを目的とした。,decide,
orbit,軌道,The satellite remained in orbit for several years.,衛星は数年間軌道にとどまった。,revolve,
reasonably,合理的な・道理にかなって,She made a reasonably good argument in the debate.,彼女は議論で比較的良い主張をした。,reasonably,
spectale,壮観・光景,The festival was a spectacular sight.,祭りは壮観な光景だった。,sight,
pave,塗装した・道を開く,The workers paved the road quickly.,作業員は迅速に道路を舗装した。,lay,
distorted,曲げられた・変形された・歪められた,The image on the screen was distorted.,画面の画像は歪んでいた。,twisted,
iconoclastic,因習破壊的な・偶像破壊的な,His iconoclastic ideas challenged traditional beliefs.,彼の因習破壊的な考えは伝統的信念に挑戦した。,unconventional,"因習破壊的な行動や考え方は、これらの社会的・文化的な慣習や規範を批判し、それに従わない、または壊そうとする態度を表します。
現代では、宗教的な偶像だけでなく、広義で「権威的なもの」「絶対的な価値観」に反対する行動や思想も含まれます。"
utilize,利用する・活用する,Scientists utilize technology to improve research.,科学者は研究を改善するために技術を活用した。,use,
irrelevant,無関係な・的外れな,His comment was irrelevant to the discussion.,彼のコメントは議論と無関係だった。,irrelevant,
fear,"恐怖・心配
恐れる・懸念する",Fear prevented him from speaking up.,恐怖が彼に発言を思いとどまらせた。,worry,
realization,認識・理解・実現,The realization of the project took months.,プロジェクトの実現には数か月かかった。,understanding,
Revolutionary ,革命的な・画期的な,The invention was revolutionary for its time.,その発明は当時画期的だった。,innovative,
constraint,制約・制限,The budget constraint limited the options available.,予算の制約が利用可能な選択肢を制限した。,limitation,
march,"行進・進展
行進する",The soldiers marched through the city.,兵士たちは街を行進した。,walk,
drumbeat,太鼓の音・鼓動・繰り返される主張や強調,The drumbeat signaled the start of the ceremony.,太鼓の音が儀式の開始を知らせた。,beat,
