単語,意味,例文,例文の訳,類義語,メモ
outrageous,〔ファッションなどが〕インパクトの強い、斬新［奇抜・前衛的］な・〔人を侮辱して〕イライラさせる、悪意ある、無礼な,His outfit was considered outrageous at the party.,彼の服装はパーティーで奇抜と見なされた。,shocking,
once + 形容詞,かつて～だった,"Once famous, the actor now lives quietly.",かつて有名だった俳優は今は静かに暮らしている。,formerly,
obscurity,無名の人・暗いこと・曖昧,The author lived in obscurity before being recognized.,その作家は認められる前は無名だった。,anonymity,
supremacy,至高・優位・主権,The country maintained supremacy in technology for decades.,その国は数十年間技術の分野で優位を維持した。,dominance,
outstrip,～より勝る・～を凌駕する,The company managed to outstrip its competitors.,その会社は競争相手を凌駕することができた。,surpass,
instraction,教育・指示,Teachers give instructions and instractions in class.,教師は授業で教育と指示を行う。,instruction,
emulate,模倣する・〔～と〕張り合う、〔～と〕競う,Young athletes often emulate their idols.,若いアスリートはしばしば憧れの人を模倣する。,imitate,
unpalatable,〔考え・助言・手段・真実・事実などが〕受け入れ難い・〔飲食物が〕味の悪い、まずい、口に合わない,The bitter medicine was unpalatable but necessary.,その苦い薬はまずかったが必要だった。,unpleasant,
fame,名声,The scientist gained fame for her discoveries.,その科学者は発見で名声を得た。,renown,
price,対価・代償・犠牲,The price of success is often hard work.,成功の代償は多くの場合、努力である。,cost,
perseverance,忍耐,Perseverance is key to learning a new language.,新しい言語を学ぶには忍耐が重要である。,persistence,
single-mindedness,一心不乱・ひたむきさ,Single-mindedness helped him finish the marathon.,一心不乱な姿勢が彼をマラソン完走へと導いた。,determination,
integrity,誠実,Integrity is important in professional life.,誠実さは職業生活で重要である。,honesty,
demands on,「～にかかる要求」「～への負担」,The project places heavy demands on employees.,そのプロジェクトは従業員に大きな負担をかける。,requirements,"""demands upon"" はフォーマルな表現"
preserve,保つ・保存する・守る,Museums preserve historical artifacts.,博物館は歴史的遺物を保存する。,maintain,
relative,相対的な・関係のある,Success is relative to one’s goals.,成功は目標に対して相対的である。,relative,
descriptive,記述的な・説明的な,The report is descriptive of urban life.,その報告書は都市生活を記述している。,illustrative,
at best,せいぜい、最良の場合で,"At best, the solution will reduce errors slightly.",せいぜい、その解決策は誤りをわずかに減らすだけである。,at most,
delude,信じ込ませる・だます,He tried to delude himself into thinking he was correct.,彼は自分が正しいと信じ込もうとした。,deceive,"
""delude oneself into believing"" で 「～を信じ込んで錯覚する」 という表現

"
save,～を除いて、～のほかは、～は別として,Everyone was present save the manager.,マネージャーを除いて、全員が出席した。,except,
determine, 決心する・決定する,She determined to finish the research by Friday.,彼女は金曜日までに研究を終えると決心した。,decide,
impractical,実践力のない・非現実的な,Some theoretical ideas are impractical to apply.,理論的なアイデアの中には実践的でないものもある。,unrealistic,
taken for granted,当然のことと思う」「当然に受け止める,Many take clean water for granted.,多くの人はきれいな水を当然のことと思う。,assumed,
lessen,小さくする・減らす・〔可能性・重要性・価値・効果などを〕低下させる、低くする、低める,Regular exercise can lessen stress.,定期的な運動はストレスを減らすことができる。,reduce,
span,期間・時間・長さ・距離,The bridge spans a distance of 200 meters.,その橋は200メートルの距離にわたって架かっている。,length,
statement,発言・意見・声明,The statement was clear and concise.,その発言は明確で簡潔だった。,remark,
be subjected to,～の影響を受ける・～にさらされる,The crops were subjected to heavy rainfall.,作物は大雨の影響を受けた。,exposed to,
wear and tear,摩耗・傷み,Old shoes show wear and tear after years of use.,古い靴は長年使用したため摩耗している。,damage,
at some time or other,いつかまたは別の機会に,"At some time or other, we all face challenges.",いつかまたは別の機会に、私たちは皆困難に直面する。,sometime,
comparable,比較できる・同等な,The results are comparable to previous studies.,その結果は以前の研究と比較できる。,similar,
static,静的な・固定された・変化がない,The painting remains static in the gallery.,その絵はギャラリーで固定されている。,unchanging,
in the course of ~,～の過程で,"In the course of the study, several errors were found.",研究の過程でいくつかの誤りが見つかった。,during,
"""It is + 強調部分 + that/which + 残りの文""",強調構文,It is the team that achieved the success.,成功を成し遂げたのはチームである。,it is … that,
worn down,すり減った,The tires were worn down after long use.,長年使用したためタイヤはすり減った。,worn,
according to,～に従って・～によると,"According to the report, pollution is increasing.",報告書によると、汚染は増加している。,according to,
law,法則,The law protects citizens’ rights.,法律は市民の権利を守る。,rule,
thermodynamics,熱力学,Thermodynamics explains heat transfer in engines.,熱力学はエンジンの熱の移動を説明する。,thermodynamics,
organism,生物,An organism adapts to its environment.,生物は環境に適応する。,living thing,
hold for,「～に当てはまる」・「～についてそう言える」,This principle holds for all metals.,この原理はすべての金属に当てはまる。,apply to,
inexorable,さけられない・止められない,The force of gravity is inexorable.,重力の力は避けられない。,inescapable,
in the same way,同じように・同じやり方で,"In the same way, plants need sunlight.",同じように、植物も日光を必要とする。,similarly,
as long as,～する限り・～さえすれば・～の間,"As long as you practice, you will improve.",練習する限り、上達するだろう。,provided that,
destruction,破壊,The earthquake caused widespread destruction.,地震は広範囲の破壊を引き起こした。,ruin,
formation,形成・構成,The formation of clouds depends on humidity.,雲の形成は湿度に依存する。,development,
equilibrium,均衡・平衡・感情の安定,The market reached equilibrium after price changes.,市場は価格変動の後に均衡に達した。,balance,
molecule,分子,A water molecule consists of hydrogen and oxygen.,水分子は水素と酸素で構成される。,compound,
more or less,多かれ少なかれ,The results were more or less as expected.,結果は多かれ少なかれ予想通りだった。,more or less,
spring,泉・バネ・春,Water springs from the ground in the village.,村では泉が湧き出ている。,spring,
inevitable,"避けられない・防げない
〔結末などが〕当然の・予測できる",The outcome of the experiment was inevitable.,実験の結果は避けられないものだった。,unavoidable,
mutation,突然変異・変化,A mutation occurred in the DNA sequence.,DNA配列に突然変異が起きた。,genetic change,
optimal,最適な・最善の,Optimal conditions improve plant growth.,最適な条件は植物の成長を促進する。,best,
immortality,不死・不滅,Legends often promise immortality.,伝説はしばしば不死を約束する。,eternal life,
striking,顕著な・著しい・印相的な・目立つ,The study revealed striking differences.,研究は顕著な違いを明らかにした。,noticeable,
constant,一定な・定期的な・絶え間なく続く,Constant monitoring ensures safety.,継続的な監視が安全を確保する。,continuous,
attain,〔努力して目標などを〕達成する・実現する・〔努力して地位・名声・富などを〕手に入れる、獲得する,He attained his goal after years of effort.,彼は長年の努力の末に目標を達成した。,achieve,
lie,"（ある範囲内に）存在する・収まる
横たわる・横になる",Villages lie along the river.,村は川沿いに存在する。,exist,
genetically,遺伝的に,Traits can be genetically inherited.,特性は遺伝的に受け継がれることがある。,hereditary,
logically,論理的に,Scientists reasoned logically to reach a conclusion.,科学者たちは結論に達するために論理的に考えた。,reasonably,
in some way,何らかの方法で・ある程度・何らかの形で,Problems can be solved in some way.,問題はいくつかの方法で解決できる。,somehow,
metabolic,代謝の,Metabolic rates vary among organisms.,代謝率は生物によって異なる。,metabolic,
for,に関して・について・～のために,This book is useful for research for students.,この本は学生の研究に役立つ。,concerning,
fixed,一定の・不変の・固定の,The schedule is fixed for the semester.,学期の予定は固定されている。,fixed,
in comparison to,～と比べると・～と比較（検討）すると,"In comparison to last year, profits increased.",昨年と比較すると、利益は増加した。,in relation to,
inverted,反転した・逆の・さかさまの,The graph shows an inverted trend.,グラフは逆の傾向を示している。,reversed,
again,加えて・さらに,"Again, we must emphasize the importance of safety.",再び、安全の重要性を強調しなければならない。,further,
frugally,倹約的に・倹約して,She lives frugally to save money.,彼女はお金を貯めるために倹約的に暮らしている。,thriftily,
parrot,オウム,A parrot can imitate human speech.,オウムは人間の話をまねることができる。,parakeet,
prey,獲物・被害者,The lion hunts prey in the wild.,ライオンは野生で獲物を狩る。,victim,
birds of prey,猛禽類,Eagles are birds of prey.,ワシは猛禽類である。,raptors,タカ・ワシ・フクロウなど
captivity,捕虜・監禁・拘束,The animals were kept in captivity.,動物たちは捕獲されていた。,confinement,
hibernation,冬眠,Bears enter hibernation in winter.,クマは冬に冬眠に入る。,sleep,
lethargy,無気力・倦怠感・不活発・昏睡,Lethargy affected the patient after illness.,無気力が患者に影響を及ぼした。,sluggishness,
hedgehog,ハリネズミ,The hedgehog curls up when threatened.,ハリネズミは脅かされると丸くなる。,hedgehog,
well-fed,栄養の十分な・丸みを帯びた,The puppy is well-fed and healthy.,子犬は十分に栄養をとって健康である。,well-nourished,
comrade,同僚・仲間,Comrades supported each other during training.,仲間たちは訓練中に互いを支えた。,ally,
distinctly,明らかに・はっきりと・際立って,The data is distinctly different from previous results.,データは以前の結果と明らかに異なる。,clearly,
establish,確立する・明らかにする,The study established a clear link between diet and health.,その研究は食生活と健康の明確な関係を確立した。,establish,"establish that ～
→ 「～ということを確立する」「～ということが分かる」"
account for ～,「～の原因となる」「～を説明する」,The weather can account for changes in mood.,天気が気分の変化の原因となることがある。,explain,
intensively,集中的に・激しく,The course is taught intensively over two weeks.,そのコースは2週間集中的に教えられる。,intensively,
It follows that ～,「～という結論が導かれる」「～ということになる」,It follows that practice leads to improvement.,練習は上達につながるということになる。,it follows that,
It follows from the above that ～,上述のことから～ということが導かれる,It follows from the above that the theory is valid.,上述のことから、その理論は妥当であるということが導かれる。,it follows from,
sparing,控える・節約的な,Sparing use of water is encouraged in drought areas.,干ばつ地域では水の節約的な使用が奨励されている。,sparing,
cardiovascular,心臓血管の,Cardiovascular exercise strengthens the heart.,心臓血管の運動は心臓を強くする。,heart-related,
