単語,意味,例文,例文の訳,類義語,メモ
certainly,確かに・確実に,She certainly knows how to solve the problem.,彼女は確かにその問題の解き方を知っている。,surely,
foes,敵,They prepared to defend themselves against their foes.,彼らは敵に対して身を守る準備をした。,enemies,
practical use,実用的用途,The tool has practical use in daily life.,その道具は日常生活で実用的な用途がある。,functional use,
have no access to,～へのアクセスがない、～を使えない、～が入手できない,Some students have no access to the internet.,一部の学生はインターネットへのアクセスがない。,have no availability to,
put up buildings,建物を建てる,They plan to put up buildings near the station.,彼らは駅の近くに建物を建てる予定だ。,construct buildings,
on a site,（ある）敷地・現場において,The accident happened on a site under construction.,その事故は建設中の敷地で起こった。,at a location,
make sensible,〜を理にかなったものにする,Clear rules make sensible decisions easier.,明確な規則は判断を理にかなったものにする。,make reasonable,
fur,毛皮,The coat is made of animal fur.,そのコートは動物の毛皮でできている。,animal hair,
archipelago,諸島・列島,Japan is an archipelago in East Asia.,日本は東アジアにある列島だ。,island chain,
volcanic,火山の,The island has volcanic soil.,その島には火山性の土壌がある。,igneous,
land mass,陸地,This land mass is visible from space.,この陸地は宇宙から見ることができる。,continent,
one-fifth the size of ~,〜の5分の1の大きさ,The park is one-fifth the size of the city.,その公園はその都市の5分の1の大きさだ。,one-fifth as large as,
coastline,海岸線,The coastline is popular with tourists.,その海岸線は観光客に人気がある。,shoreline,
feed into,流れ込む,Several rivers feed into the lake.,いくつかの川がその湖に流れ込んでいる。,flow into,
shellfish,貝類,Shellfish are common in coastal diets.,貝類は沿岸地域の食生活で一般的だ。,seafood,
crustacean,甲殻類,The crab is a type of crustacean.,カニは甲殻類の一種だ。,arthropod,
mollusc,軟体動物,A snail is a mollusc.,カタツムリは軟体動物だ。,invertebrate,
Taking advantage of ~,〜を活用して,"Taking advantage of sunlight, the house saves energy.",太陽光を活用して、その家はエネルギーを節約している。,using,
have developed into ~,〜に発展した,The small village has developed into a city.,その小さな村は都市へと発展した。,have grown into,
the Alaska Department of Fish and Game,アラスカ州の魚類野生動物局,The Alaska Department of Fish and Game manages fisheries.,アラスカ州の魚類野生動物局は漁業を管理している。,the Alaska Fish and Wildlife agency,
groundfish,底魚,Groundfish live near the sea floor.,底魚は海底近くに生息している。,bottom fish,
cod,タラ,Cod is widely used in cooking.,タラは料理で広く使われている。,Atlantic cod,
sole,カレイ,Sole is often served in fine restaurants.,カレイは高級レストランでよく出される。,flatfish,
perch ,スズキ,Perch can be found in freshwater lakes.,スズキは淡水湖で見つけることができる。,bass,
pollock,スケトウダラ,Pollock is used to make fish products.,スケトウダラは魚製品に使われている。,Alaska pollock,
heart and soul,核心,Trust is the heart and soul of friendship.,信頼は友情の核心だ。,core,
nourishment,栄養,Milk provides nourishment for children.,牛乳は子どもに栄養を与える。,nutrition,
flourish,繫栄する,The business began to flourish after the change.,その事業は変化の後に繁栄し始めた。,thrive,
spawner,産卵期のメスの魚（主にサケ）,The river is important for each spawner.,その川は産卵期の魚にとって重要だ。,breeding fish,
spawn,産卵する,Salmon spawn in the same river.,サケは同じ川で産卵する。,lay eggs,
ex-vessel value,漁船から水揚げされた時点での市場価格,The ex-vessel value increased this year.,水揚げ時の市場価格は今年上昇した。,landing value,
take over management,管理を引き継ぐ,The new team will take over management.,新しいチームが管理を引き継ぐ。,assume control of management,
mandates that ~,〜するよう義務づける,The law mandates that helmets be worn.,その法律はヘルメットの着用を義務づけている。,requires that,
in excess of ~,〜を大きく超える,The cost was in excess of our budget.,その費用は予算を大きく超えていた。,far more than,
on several occasions,数回は〜だった,"On several occasions, he was late.",数回、彼は遅刻したことがあった。,more than once,
so + 形容詞 + that節,とても〜なので、〜だ,The room was so cold that we left.,部屋はとても寒かったので、私たちは出て行った。,very … so that,
for such,そのような～・そのような～のために,"For such reasons, the plan was rejected.",そのような理由で、その計画は却下された。,for that kind of,
what is known as ~,「〜として知られているものだ,What is known as gravity affects all objects.,重力として知られているものはすべての物体に影響を与える。,referred to as,
streamside,川のほとりの・川岸の,They walked along the streamside path.,彼らは川岸の小道を歩いた。,riverside,
on any given day,どの日であっても,"On any given day, the shop may be busy.",どの日であっても、その店は忙しいかもしれない。,on every day,
bring ~ to a halt,～を中止［停止］させる,The strike brought work to a halt.,そのストライキは作業を停止させた。,stop,
even as ~,〜である一方で,"Even as prices rose, demand increased.",物価が上昇する一方で、需要は増加した。,while,
endangered,絶滅危惧種,The panda is an endangered species.,パンダは絶滅危惧種だ。,at risk,
commissioned,委託された・依頼された・任命された,The artist was commissioned to paint a mural.,その芸術家は壁画を描くよう依頼された。,assigned,
recognise,認識する・見分ける,I recognised her voice immediately.,私はすぐに彼女の声だと認識した。,identify,
composed of,〜から成る・構成される,The committee is composed of five members.,その委員会は5人のメンバーで構成されている。,made up of,
appoint,任命する・（日時・場所などを）決める,They will appoint a new manager tomorrow.,彼らは明日、新しい管理者を任命する予定だ。,designate,
