単語,意味,例文,例文の訳,類義語,メモ
for + 動名詞,「〜するための」「〜のために」（用途・理由）,She studies every evening for improving her English skills.,彼女は英語力向上のために毎晩勉強する。,for,
to + 動詞の原形,「〜するために（目的・意図）」,I went to the library to borrow books on history.,私は本を借りるために図書館に行った。,to,
intimate,親密な・親しい,They shared an intimate conversation about their future.,彼らは将来について親密な会話を共有した。,close,
emotionally,感情的に,Movies can be emotionally moving and inspiring.,映画は感情的に感動的で刺激的である場合がある。,emotionally,
charged,（感情的に）影響を受けた・緊迫した,The meeting was charged with tension due to the disagreement.,意見の不一致により会議は緊迫した雰囲気だった。,tense,
attach A to B,AをBに付与する,She attached a label to each box for identification.,彼女は識別のために各箱にラベルを付けた。,attach,
internalize,内面化する,Teachers help students internalize important lessons.,教師は生徒が重要な教訓を内面化するのを助ける。,internalize,
interiorise,内面化する、取り入れる,The class was asked to interiorise the new concepts through practice.,クラスは練習を通して新しい概念を取り入れるよう求められた。,internalize,
investigation,調査・探求,The police launched an investigation into the theft.,警察は盗難事件の調査を開始した。,study,
in a ... sense,「〜な意味で」「〜な観点から」,"In a moral sense, honesty is always important.",道徳的な意味で、正直さは常に重要である。,in a ... way,
interpretation,解釈,His interpretation of the poem was very insightful.,彼の詩の解釈は非常に洞察に富んでいた。,explanation,
in + 動名詞,「〜することにおいて」「〜の際に」「〜する過程で」,"In studying, you learn new skills in reading and writing.",学習において、読解や作文の新しいスキルを学ぶ。,during,
make use of,〜を活用する・～を利用する,Teachers encourage students to make use of available resources.,教師は生徒が利用可能な資源を活用するよう奨励する。,use,
without + 動名詞,「〜せずに」「〜なしで」「〜することなく」,You can solve problems without asking for help.,助けを求めずに問題を解くことができる。,without,
archaeological,考古学的な,The archaeologists discovered ancient artifacts in the ruins.,考古学者は遺跡で古代の遺物を発見した。,archaeological,
advent,降臨・到来,The advent of the internet changed communication worldwide.,インターネットの到来は世界のコミュニケーションを変えた。,arrival,
introduce,導入する・取り入れる・紹介する,The school introduced new programs to help students learn.,学校は生徒が学ぶのを助ける新しいプログラムを導入した。,introduce,
communal,共有の・共用の,The community built a communal garden for everyone to enjoy.,コミュニティは誰もが楽しめる共有の庭を作った。,shared,
lunar,月の,Farmers track lunar phases to plan planting schedules.,農家は植え付けの計画のために月の満ち欠けを追跡する。,lunar,
phases of the moon,月の満ち欠け,The phases of the moon affect tides on Earth.,月の満ち欠けは地球の潮に影響を与える。,moon phases,
orbit,軌道を回る・周回する,The satellite orbits the Earth every 90 minutes.,衛星は90分ごとに地球を周回する。,revolve,
accompany,～に伴って起こる・同行する,Volcanic eruptions are often accompanied by earthquakes.,火山の噴火はしばしば地震を伴う。,accompany,
revolution,公転・革命,The revolution changed the political system of the country.,革命は国の政治制度を変えた。,revolution,
marked by ,～によって特徴づけられる,The area is marked by tall mountains and deep valleys.,その地域は高い山と深い谷によって特徴づけられる。,characterized by,
wax,"〔月が〕満ちる・増大する
ワックス",The moon will wax and appear brighter tonight.,月は満ちて今夜は明るく見える。,increase,
wane,〔月が〕欠ける・〔力・光などが〕衰える、徐々に弱まる、薄れる、減少する,The moon will wane after the full moon phase.,満月の後、月は欠けていく。,decrease,
conspicuous,よく見える・はっきり見える・際立った,The lighthouse was conspicuous from the sea.,灯台は海からよく見えた。,noticeable,
passing of the seasons,季節の移り変わり,The passing of the seasons affects animal behavior.,季節の移り変わりは動物の行動に影響を与える。,change of seasons,
latitude,緯度,Latitude affects the climate of a region.,緯度は地域の気候に影響する。,latitude,
practice,〔習慣的に～を〕行う・する・〔理論などを〕実行［実践］する,Teachers practice reading exercises every morning with students.,教師は毎朝、生徒と一緒に読書の練習を行う。,practice,
for the most part,主に・大部分は,"For the most part, people prefer sunny weather.",大部分の人々は晴れた天気を好む。,mainly,
formulate,考案する・説明する・定式化する,Scientists formulate hypotheses before conducting experiments.,科学者は実験を行う前に仮説を考案する。,develop,
municipal,地方自治体の・国内の・内政の,The municipal council is responsible for local services.,地方自治体は地域サービスに責任を持つ。,local,
approximate,"近づける・概算する
おおよそ",The approximate distance between the cities is 50 kilometers.,二つの都市間のおおよその距離は50キロメートルである。,roughly,
appearance,出現・外見・状況,The sudden appearance of the comet amazed astronomers.,彗星の突然の出現は天文学者を驚かせた。,appearance,
all-important,極めて重要な,Access to education is all-important for social development.,教育へのアクセスは社会発展にとって極めて重要である。,crucial,
flooding,洪水・氾濫,Flooding is common in areas near the river during heavy rain.,豪雨の際、川の近くの地域では洪水がよく発生する。,flood,
span,"〔意識や活動がある期間に〕及ぶ、広がる
長さ・距離・期間",The bridge spans the river and connects the two towns.,その橋は川を渡り、二つの町をつなぐ。,extend,
cosmic,宇宙的な,Cosmic events like supernovas fascinate astronomers.,超新星のような宇宙的な出来事は天文学者を魅了する。,cosmic,
each interval of ～,「～の各間隔」「～の各区切り」,Each interval of time was measured carefully in the experiment.,各時間間隔は実験で注意深く測定された。,each period of,
temporal,時間的な・一時的な,Temporal changes in temperature were recorded daily.,温度の時間的変化は毎日記録された。,temporal,
duration,"〔時間の〕継続、持続・
継続［持続］時間",The duration of the movie was two hours.,映画の上映時間は2時間であった。,length,
vary,"～を変える・～を多様にする
異なるものになる",Scores vary among students depending on their preparation.,準備によって学生の点数は異なる。,differ,
according to,～に応じて,"According to the report, the economy is improving.",報告によると、経済は改善している。,according to,
