単語,意味,例文,例文訳,類義語,メモ
네,はい,"네, 알겠어요.",はい、わかりました。,,
네모,四角,네모와 원은 수학에서 사용되는 도형입니다.,四角形と円は数学で使用される図形です。,,
녀석,やつ,그 녀석 진짜 신경 쓰이네.,あのやつ本当に気になる。,,
년,年,그들은 한 년에 한 번 결혼 기념일을 축하합니다.,彼らは1年に1回結婚記念日を祝います。,,
노력하다,努力する,그는 어려움을 극복하기 위해 노력하고 있다.,彼は困難を乗り越えるために努力しています。,,
노래,歌,노래를 부를 때 행복을 느낍니다.,歌を歌う時、幸せを感じます。,,
노인,老人,노인들은 우리 사회에서 존경받을 가치가 있다.,老人たちは、私たちの社会で尊敬される価値があります。,,
녹색,緑,저 근처에 예쁜 녹색 공원이 있어요.,その近くには美しい緑色の公園があります。,,
논,田んぼ,그 논에는 보리가 잘 자랍니다.,その畑では麦がよく育ちます。,,
놀다,遊ぶ,저희 친구들과 함께 놀러 갈까요?,僕たちの友達と一緒に遊びに行きましょうか？,,
놀라다,驚く,그들은 그의 성공을 보고 놀랐다.,彼らは彼の成功を見て驚いた。,,
농담,冗談,농담은 어떤 경우에도 폄하당하지 않아야 합니다.,冗談はどんな場合にも軽蔑されてはいけません。,,
농사,農業,농사는 식량 생산을 뜻하는 뜻있는 활동입니다.,農業は食糧生産を意味する意味深い活動です。,,
농장,農場,농장에서는 많은 작물이 재배됩니다.,農場では多くの作物が栽培されます。,,
높다,高い,그 산은 정상이 너무 높아서 등산하는 게 어렵다.,その山は頂上があまりに高くて、登山するのが難しいです。,,
눈,目,눈은 시력을 제공하는 중요한 기관입니다.,目は視力を提供する重要な器官です。,,
눈물,涙,그녀의 눈물이 흐르는 것을 보면 마음이 아프다.,彼女の涙が流れるのを見ると心が痛む。,,
느끼다,感じる,그는 슬픔을 느꼈다.,彼は悲しみを感じた。,,
느리다,遅い,그 자동차는 속도가 너무 느려요.,その車はスピードがあまりにも遅いです。,,
느낌,感じ,그 그림이 강한 여운을 남긴다는 느낌이 들어요.,その絵が強い印象を残す感じがします。,,
늦다,遅れる,그는 학교에 가기 위해 일어났지만 시간이 너무 늦었다.,彼は学校に行くために起きたが、時間があまりにも遅かった。,,
다니다,通う,나는 학교에 매일 다니다.,私は毎日学校に通っています。,,
다르다,違う,그 두 가지 의견은 완전히 다르다.,その2つの意見は完全に異なる。,,
다리,橋,다리를 건너서 공원으로 가요.,橋を渡って公園に行きましょう。,,
다섯,五,다섯은 한 자릿수입니다.,5は1桁の数字です。,,
다시,もう一度,다시 시작해 보세요.,もう一度始めてみてください。,,
다행이다,幸いだ,다행이다.,幸運だ。,,
다치다,けがする,다친 사람은 병원에 가야 합니다.,けがをした人は病院に行かなければなりません。,,
단어,単語,"한국어에서 ""단어""는 문장을 이해하는데 매우 중요한 요소입니다.",韓国語では、単語は文章を理解する上で非常に重要な要素です。,,
단추,ボタン,단추를 눌러서 문을 열어주세요.,ボタンを押してドアを開けてください。,,
단점,短所,이 제품의 단점은 배터리 수명이 짧다.,この製品の欠点は、バッテリーの寿命が短いことです。,,
달,月,달이 밝게 빛나는 밤 하늘은 아름답습니다.,月が明るく輝く夜空は美しいです。,,
달다,甘い,그 과일은 달아요.,その果物は甘いです。,,
닭,鶏,닭은 새우나 고기와 함께 요리할 수 있습니다.,鶏はエビや肉と一緒に調理することができます。,,
닮다,似ている,그 두 사람은 얼굴이 닮았어요.,その二人は顔が似ている,,
담배,たばこ,담배를 피우는 것은 건강에 해롭습니다.,たばこを吸うことは健康に害を及ぼします。,,
답,答え,답을 찾기 위해 열심히 노력하세요.,答えを見つけるために一生懸命努力してください。,,
